,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.45,0.07,0.36,0.0,0.91
chaperon.csv,0.35,0.28,0.35,0.98,0.3
mule.csv,0.65,0.26,0.29,0.55,0.58
springside.csv,0.62,0.77,0.36,0.67,0.52
swtfox.csv,0.27,0.24,0.65,0.34,0.0
