,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.33,0.29,0.8,0.68,0.67,1.0,0.74,0.75,0.22,0.89,0.89,0.36
bigdata.csv,0.44,0.47,0.18,0.23,0.31,0.0,0.03,0.15,0.69,0.54,0.46,0.21
calcubetimer.csv,0.43,0.17,0.62,0.9,0.38,0.0,0.05,0.42,0.55,0.51,0.06,0.4
jas.csv,0.44,0.2,0.39,0.12,0.47,1.0,0.62,0.03,0.43,0.27,0.17,0.12
jbpm.csv,0.19,0.01,0.06,0.02,0.13,0.0,0.0,0.17,0.02,0.05,0.1,0.01
jgossipforum.csv,0.62,0.3,0.32,0.06,0.27,0.25,0.07,0.03,0.35,0.05,0.03,0.18
joustsim.csv,0.46,0.68,0.83,0.3,0.34,0.25,0.27,0.07,0.59,0.35,0.31,0.55
madman.csv,0.71,0.3,0.79,0.1,0.59,0.5,0.44,0.52,0.22,0.05,0.44,0.16
mule.csv,0.48,0.41,0.19,0.66,0.35,0.25,0.14,0.3,0.69,0.16,0.11,0.52
nunit.csv,0.49,0.24,0.23,0.37,0.62,0.25,0.32,0.25,0.71,0.43,0.43,0.24
piccolo2d.csv,0.57,0.11,0.29,0.27,0.37,0.0,0.02,0.35,0.33,0.22,0.08,0.17
sblim.csv,0.17,0.32,0.2,0.41,0.06,0.0,0.15,0.3,0.33,0.05,0.14,0.4
