,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.41,0.3,0.44,0.89,0.0,0.41,0.17,0.22,0.2,0.35,0.54,0.09,0.14,0.54,0.19,0.39,0.76,0.17,0.38,0.48
alpine.csv,0.13,0.21,0.23,0.15,0.16,0.2,0.14,0.11,0.12,0.15,0.11,1.0,0.0,0.18,0.11,0.16,0.24,0.0,0.12,0.21
enzo.csv,0.6,0.43,0.66,0.21,0.14,0.59,0.19,0.24,0.1,0.68,0.9,0.13,0.27,0.46,0.85,0.42,0.99,0.18,0.8,0.6
flylinkdc.csv,0.04,0.97,0.23,0.27,0.03,0.27,0.44,0.15,0.0,0.22,0.48,0.16,0.0,0.17,0.02,0.45,0.29,0.27,0.35,0.0
fw4spl.csv,0.37,0.26,0.23,0.22,0.33,0.16,0.0,0.93,0.38,0.09,0.38,0.14,0.1,0.43,0.48,0.25,0.45,0.24,0.25,0.41
grisbi.csv,0.57,0.47,0.66,0.24,0.16,0.57,0.19,0.23,0.17,0.65,1.0,0.16,0.14,0.53,0.53,0.39,0.82,0.22,0.74,0.58
jcae.csv,0.0,0.0,0.13,0.0,0.22,0.15,1.0,0.14,0.06,0.1,0.0,0.0,0.0,0.0,0.08,0.05,0.02,0.17,0.08,0.44
jcl.csv,0.12,0.27,0.09,0.29,0.04,0.0,0.0,0.07,0.0,0.16,0.21,0.23,0.0,0.35,0.26,0.11,0.24,1.0,0.04,0.08
libarchive.csv,0.39,0.41,0.41,0.27,0.13,0.48,0.25,0.31,0.11,0.51,0.48,0.15,0.08,0.43,0.48,0.44,0.4,0.22,0.7,0.97
mimosa.csv,0.6,0.4,0.64,0.25,0.17,0.61,0.27,0.25,0.14,1.0,0.78,0.16,0.18,0.22,0.49,0.31,0.87,0.3,0.69,0.55
n2cms.csv,0.49,0.33,0.33,0.25,0.16,1.0,0.2,0.13,0.18,0.42,0.21,0.04,0.11,0.19,0.46,0.35,0.59,0.25,0.24,0.56
nabu-library.csv,0.6,0.39,0.5,0.26,0.15,0.51,0.23,0.23,0.23,0.54,0.79,0.14,0.23,0.56,0.99,0.25,0.83,0.23,0.67,0.33
net-snmp.csv,0.98,0.19,0.37,0.19,0.15,0.4,0.07,0.21,0.11,0.37,0.51,0.14,0.36,0.41,0.49,0.4,0.28,0.25,0.36,0.44
ossbuild.csv,0.22,0.46,0.23,0.31,0.25,0.19,0.19,0.11,0.98,0.26,0.0,0.11,0.0,0.25,0.02,0.41,0.22,0.31,0.15,0.23
quickfast.csv,0.62,0.43,0.53,0.24,0.15,0.36,0.17,0.25,0.19,0.64,0.88,0.14,0.15,0.46,0.64,0.33,0.68,0.15,1.0,0.36
tcvp.csv,0.09,0.0,0.32,0.04,0.0,0.26,0.0,0.0,0.0,0.19,0.19,0.06,1.0,0.08,0.36,0.08,0.08,0.31,0.14,0.0
vdsf.csv,0.61,0.4,0.66,0.22,0.92,0.52,0.11,0.21,0.23,0.58,0.87,0.15,0.22,0.57,0.66,0.38,0.84,0.22,0.71,0.56
virtuoso.csv,0.16,0.47,0.55,0.33,0.1,0.47,0.23,0.28,0.19,0.54,0.41,0.07,0.12,0.07,0.49,0.99,0.13,0.25,0.27,0.18
xbrlapi.csv,0.48,0.27,0.96,0.22,0.14,0.39,0.22,0.26,0.23,0.55,0.53,0.22,0.14,0.17,0.49,0.37,0.69,0.25,0.45,0.52
yarp.csv,0.15,0.23,0.2,0.17,0.06,0.34,0.21,0.2,0.1,0.17,0.4,0.09,0.13,1.0,0.26,0.04,0.59,0.31,0.5,0.21
