,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.73,0.77,0.79,0.18,1.0,0.7,0.73,0.74,0.73,0.97,0.63,0.89,0.81,0.69,1.04,0.61,0.57,0.82,0.81,0.69
alpine.csv,0.93,0.85,0.86,0.83,0.89,0.88,0.89,0.92,0.91,0.92,0.94,0.0,1.0,0.89,0.94,0.88,0.86,1.0,0.94,0.87
enzo.csv,0.85,0.84,0.83,0.88,1.0,0.87,0.97,0.94,1.06,0.81,0.58,0.92,0.65,0.82,0.33,0.77,0.08,0.98,0.75,0.73
flylinkdc.csv,0.98,0.05,0.87,0.7,0.98,0.82,0.56,0.86,1.0,0.87,0.68,0.71,1.0,0.9,0.99,0.65,0.83,0.57,0.78,1.0
fw4spl.csv,0.81,0.79,0.87,0.7,0.72,0.91,1.0,0.12,0.45,0.96,1.07,0.72,0.87,0.72,0.92,0.8,1.06,0.68,0.86,0.82
grisbi.csv,0.67,0.7,0.88,0.82,1.0,0.87,0.97,0.94,0.97,0.91,0.0,0.81,0.8,0.81,1.0,0.87,0.67,1.0,0.79,0.74
jcae.csv,1.0,1.0,0.93,1.0,0.65,0.92,0.0,0.92,0.95,0.95,1.0,1.0,1.0,1.0,0.96,0.98,0.99,0.86,0.96,0.71
jcl.csv,0.94,0.81,0.95,0.74,0.98,1.0,1.0,0.93,1.0,0.91,0.88,0.75,1.01,0.76,1.02,0.93,1.03,0.0,0.98,0.96
libarchive.csv,0.73,0.64,0.73,0.59,0.77,0.62,0.61,0.53,0.89,0.64,0.68,0.68,0.91,0.67,0.65,0.55,0.75,0.99,0.46,0.06
mimosa.csv,0.59,0.63,0.65,0.66,0.96,0.52,0.54,0.63,1.05,0.0,0.4,0.65,0.7,0.87,0.65,0.74,0.43,0.6,0.58,0.83
n2cms.csv,0.62,0.74,0.86,0.69,1.0,0.0,0.66,0.9,0.79,0.71,0.88,0.94,0.85,0.88,0.95,0.7,0.59,0.61,0.86,0.64
nabu-library.csv,0.63,0.7,0.72,0.69,0.74,0.8,0.67,0.82,0.7,0.82,0.42,0.83,0.63,0.74,0.02,0.78,0.4,0.87,0.59,0.77
net-snmp.csv,0.05,0.86,0.76,0.78,0.74,0.7,0.91,0.74,0.88,0.75,0.66,0.7,0.41,0.7,0.65,0.58,0.84,0.69,0.78,0.67
ossbuild.csv,0.86,0.65,0.86,0.72,0.76,0.9,0.79,0.92,0.03,0.84,1.0,0.85,1.0,0.84,1.0,0.72,0.87,0.72,0.92,0.86
quickfast.csv,0.79,0.69,0.71,0.7,0.84,0.82,0.79,0.62,0.75,0.57,0.45,0.76,0.77,0.65,0.48,0.74,0.67,0.83,0.0,0.84
tcvp.csv,0.95,1.0,0.83,0.98,1.0,0.84,1.0,1.0,1.0,0.94,0.91,0.93,0.0,0.96,0.89,0.95,0.96,0.52,0.94,1.0
vdsf.csv,0.89,0.9,0.83,0.99,0.11,0.96,1.04,0.85,0.96,1.01,1.0,0.95,0.85,0.97,1.0,0.96,0.93,0.97,0.97,1.0
virtuoso.csv,0.91,0.56,0.7,0.55,0.87,0.67,0.68,0.58,0.74,0.77,0.76,0.92,0.83,0.96,0.89,0.01,0.93,0.65,0.84,0.91
xbrlapi.csv,0.64,0.78,0.05,0.7,0.8,0.72,0.6,0.61,0.89,0.6,0.64,0.75,0.81,0.9,0.65,0.77,0.72,0.6,0.77,1.0
yarp.csv,0.92,0.83,0.91,0.78,0.94,0.76,0.78,0.79,0.94,0.94,0.76,0.87,0.82,0.0,0.84,0.98,0.67,0.51,0.7,0.87
