,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.85,0.84,0.07,0.8,0.64,0.89
exl.csv,0.6,0.7,0.83,0.53,0.74,0.0
opennms.csv,0.07,0.98,0.81,0.68,0.8,0.84
phet.csv,0.8,0.07,0.68,0.83,0.85,1.0
runuomondains.csv,1.0,0.94,0.93,0.94,0.0,0.84
