,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.6,0.98,0.64,0.97,0.49,0.88
exl.csv,0.48,0.5,0.61,0.51,0.58,0.44
opennms.csv,0.77,0.97,0.92,0.71,0.72,0.92
phet.csv,0.94,0.98,0.64,0.97,0.92,0.0
runuomondains.csv,0.5,0.92,0.75,0.92,0.88,0.91
