,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.21,0.17,0.93,0.2,0.75,0.24
exl.csv,0.68,0.54,0.33,0.47,0.38,1.0
opennms.csv,0.93,0.03,0.2,0.32,0.25,0.22
phet.csv,0.21,0.93,0.53,0.17,0.25,0.0
runuomondains.csv,0.0,0.06,0.07,0.06,1.0,0.2
