,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.0,0.0,0.89,0.44,0.82,0.5,0.57,0.69,0.43,0.29,0.5,0.0,0.67,0.42
avifile.csv,0.36,0.2,0.86,0.33,0.71,0.28,0.39,0.39,0.11,0.5,0.38,0.95,0.84,0.12
delphilhlplib.csv,0.04,0.19,0.81,0.58,0.88,0.38,0.41,0.38,0.36,0.42,0.59,0.0,1.0,0.5
fluidium.csv,0.0,0.2,1.0,0.21,0.0,0.57,0.54,0.0,0.0,0.4,0.0,0.95,0.48,0.0
gnome-jabber.csv,0.03,0.18,0.71,0.38,0.73,0.53,0.38,0.59,0.3,0.5,0.42,0.98,0.69,0.48
ipfilter.csv,0.08,0.2,0.67,0.31,0.74,0.24,0.39,0.48,0.21,0.44,0.38,0.95,0.96,0.35
jparsec.csv,0.1,0.16,0.71,0.31,0.75,0.45,0.38,0.53,0.29,0.62,0.39,0.95,0.73,0.44
loki-lib.csv,0.08,0.16,0.75,0.35,0.91,0.52,0.47,0.76,0.4,0.35,0.63,0.96,0.69,0.67
mumble.csv,0.0,0.17,0.77,0.35,0.75,0.41,0.0,0.56,0.59,0.46,0.57,0.95,0.7,0.0
opengs.csv,0.07,0.16,0.8,0.38,0.69,0.65,0.48,0.52,0.42,0.41,0.46,1.0,0.67,0.53
owfs.csv,0.05,0.19,0.7,0.6,0.83,0.43,0.5,0.59,0.34,0.42,0.46,0.96,0.72,0.49
rectracker.csv,0.06,0.2,0.92,0.33,0.75,0.41,0.47,0.58,0.33,0.39,0.39,0.95,0.66,0.37
rockbox.csv,0.04,0.67,0.64,1.0,0.83,0.3,0.5,0.57,0.43,0.3,0.62,0.96,0.8,0.62
zealos.csv,0.14,0.06,0.82,0.56,0.78,0.12,0.29,0.2,0.14,0.38,0.64,1.0,1.0,1.0
