,knowledge.csv,pentahoanalysistool.csv,betoffice.csv,ifmo-game-1.csv,voms.csv,sumatrapdf.csv,projecteqemu.csv
betoffice.csv,0.55,0.15,0.64,0.71,0.44,0.65,0.69
ifmo-game-1.csv,0.06,0.22,0.09,0.86,0.0,0.39,0.11
knowledge.csv,0.85,0.74,0.87,0.86,0.89,0.97,0.86
pentahoanalysistool.csv,0.29,0.81,0.13,0.14,0.56,0.48,0.22
projecteqemu.csv,0.77,0.52,0.07,0.57,0.0,0.58,0.81
sumatrapdf.csv,0.95,0.93,0.89,0.86,0.44,0.65,1.0
voms.csv,0.82,0.81,0.09,0.57,0.89,0.71,0.78
