,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,1.0,0.0,71.0,1.0,0.0,0.0,0.0,6.0,34.0,4.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0
all-plasm.csv,0.0,0.0,11.0,0.0,91.0,0.0,2.0,2.0,59.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
awemud.csv,0.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,122.0,14.0,1.0,1.0,5.0,1.0,0.0,9.0,0.0,1.0,4.0
buddata-ebxml-registry.csv,2.0,4.0,0.0,1.0,0.0,2.0,12.0,2.0,1950.0,11.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,7.0
bullet.csv,2.0,3.0,0.0,1.0,0.0,0.0,18.0,6.0,1442.0,2.0,0.0,34.0,4.0,0.0,0.0,1.0,0.0,6.0,5.0
dvd-create.csv,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1424.0,4.0,1.0,9.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
gbif-indexingtoolkit.csv,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,693.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,52.0
go.csv,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,606.0,7.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0
gss.csv,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,1527.0,9.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,5.0,7.0
jmule.csv,0.0,2.0,2.0,13.0,0.0,0.0,2.0,6.0,1052.0,77.0,3.0,4.0,9.0,0.0,1.0,0.0,2.0,2.0,0.0
kwave.csv,0.0,4.0,0.0,0.0,0.0,1.0,11.0,4.0,1023.0,4.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,6.0,1.0
libarchive.csv,0.0,1.0,4.0,14.0,0.0,6.0,7.0,2.0,293.0,4.0,0.0,1.0,7.0,1.0,5.0,3.0,0.0,0.0,6.0
linux-ntfs.csv,1.0,1.0,0.0,18.0,0.0,3.0,8.0,5.0,135.0,6.0,0.0,8.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0
lsb.csv,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,310.0,9.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
mp-rechnungs-und-kundenverwaltung.csv,0.0,1.0,0.0,1.0,0.0,1.0,3.0,8.0,484.0,12.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0
qcad2.csv,0.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,764.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0
qtwin.csv,107.0,123.0,71.0,181.0,91.0,87.0,144.0,60.0,0.0,77.0,50.0,367.0,148.0,66.0,49.0,54.0,70.0,116.0,52.0
stemkit.csv,0.0,0.0,71.0,0.0,1.0,0.0,0.0,1.0,2488.0,0.0,0.0,3.0,0.0,1.0,49.0,0.0,70.0,116.0,52.0
xinity.csv,0.0,1.0,0.0,181.0,0.0,1.0,6.0,3.0,151.0,10.0,1.0,25.0,0.0,0.0,0.0,54.0,1.0,0.0,1.0
