,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.35,0.14,0.0,0.36,0.03,0.16,0.32,0.24,0.05,0.29,0.22,0.99,0.33,0.36,0.49,0.5,0.52,0.22,0.5
all-plasm.csv,0.59,0.12,0.16,0.04,0.0,0.16,0.49,0.33,0.02,0.22,0.98,0.13,0.53,0.3,0.43,0.46,0.48,0.08,0.12
awemud.csv,0.99,0.69,0.22,0.16,0.67,0.54,0.53,0.21,0.02,0.13,0.45,0.57,0.44,0.63,0.61,0.46,0.49,0.57,0.56
buddata-ebxml-registry.csv,0.84,0.78,0.36,0.4,0.89,0.86,0.5,0.29,0.0,0.14,0.56,0.45,0.48,0.74,0.77,0.64,0.99,0.59,0.62
bullet.csv,0.71,0.77,0.36,0.26,0.91,1.0,0.5,0.26,0.01,0.16,0.5,0.41,0.46,0.67,0.72,0.38,0.8,0.56,0.6
dvd-create.csv,0.76,0.75,0.43,0.37,0.99,0.78,0.54,0.32,0.0,0.2,0.57,0.29,0.43,0.64,0.72,0.51,0.57,0.55,0.64
gbif-indexingtoolkit.csv,0.29,0.65,0.27,0.39,0.81,0.29,0.13,0.9,0.0,0.14,0.28,0.48,0.28,0.17,0.43,0.33,0.23,0.5,0.0
go.csv,0.68,0.99,0.3,0.35,0.71,0.72,0.54,0.26,0.01,0.13,0.52,0.59,0.5,0.55,0.6,0.61,0.64,0.64,0.75
gss.csv,0.8,0.75,0.36,0.38,0.88,0.81,0.53,0.32,0.01,0.15,0.54,0.45,0.47,0.74,0.97,0.59,0.83,0.6,0.6
jmule.csv,0.62,0.44,0.31,0.06,0.41,0.4,0.58,0.25,0.0,0.0,0.38,0.45,0.45,0.65,0.59,0.63,0.48,0.47,0.98
kwave.csv,0.55,0.74,0.9,0.41,0.79,0.31,0.36,0.28,0.01,0.32,0.21,0.14,0.32,0.44,0.37,0.19,0.3,0.49,0.33
libarchive.csv,0.55,0.56,0.3,0.4,0.56,0.61,0.51,0.28,0.01,0.15,0.55,0.56,0.52,0.67,0.5,0.65,0.51,0.95,0.53
linux-ntfs.csv,0.49,0.45,0.21,0.15,0.45,0.52,0.45,0.27,0.03,0.15,0.38,0.58,0.46,0.46,0.58,1.0,0.28,0.53,0.52
lsb.csv,0.6,0.7,0.36,0.99,0.65,0.62,0.55,0.33,0.02,0.17,0.62,0.51,0.51,0.67,0.71,0.58,0.8,0.58,0.51
mp-rechnungs-und-kundenverwaltung.csv,0.29,0.78,0.28,0.39,0.82,0.23,0.11,0.17,0.01,0.09,0.23,0.43,0.97,0.32,0.51,0.55,0.21,0.55,0.39
qcad2.csv,0.56,0.77,0.41,0.42,0.89,0.63,0.92,0.25,0.0,0.24,0.55,0.49,0.46,0.6,0.53,0.63,0.75,0.59,0.57
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stemkit.csv,0.14,0.02,0.0,0.48,0.03,0.09,0.12,0.4,0.0,1.0,0.09,0.07,0.08,0.05,0.0,0.07,0.0,0.0,0.0
xinity.csv,0.61,0.05,0.11,0.0,0.05,0.47,0.34,0.37,0.02,0.23,0.43,0.19,0.35,0.96,0.35,0.0,0.21,0.19,0.26
