,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.78,0.92,1.0,0.78,0.99,0.92,0.79,0.78,0.19,0.67,0.86,0.03,0.73,0.81,0.94,0.63,0.81,0.88,0.65
all-plasm.csv,0.59,0.94,0.88,0.98,1.0,0.91,0.61,0.6,0.67,0.49,0.03,0.93,0.51,0.83,0.81,0.69,1.01,0.96,0.95
awemud.csv,0.01,0.5,0.82,0.95,0.59,0.7,0.54,0.8,0.22,0.81,0.68,0.44,0.62,0.72,0.54,0.72,0.67,0.55,0.64
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,0.96,0.9,1.0,0.01,1.0,1.0
bullet.csv,0.79,0.85,0.72,0.82,0.5,0.0,0.68,0.75,0.75,0.75,0.93,0.71,0.83,0.81,0.68,0.83,0.41,0.96,0.72
dvd-create.csv,0.68,0.63,0.6,0.77,0.06,0.47,0.7,0.63,0.87,0.68,0.76,0.79,0.72,0.65,0.46,0.9,0.6,0.74,0.59
gbif-indexingtoolkit.csv,0.84,0.91,0.74,0.8,0.85,0.85,0.92,0.18,0.88,0.72,0.83,0.54,0.81,0.91,0.72,0.78,0.9,0.86,1.0
go.csv,0.68,0.03,0.7,0.67,0.59,0.56,0.72,0.71,0.47,0.71,0.66,0.4,0.62,0.73,0.58,0.84,0.58,0.46,0.46
gss.csv,0.91,0.94,0.87,0.93,0.73,0.82,0.83,0.63,0.83,0.93,1.0,0.98,0.73,0.85,0.07,0.85,0.38,0.91,0.72
jmule.csv,0.55,0.71,0.72,0.96,0.75,0.76,0.46,0.73,0.77,1.0,0.73,0.6,0.6,0.58,0.58,0.51,0.84,0.67,0.04
kwave.csv,0.62,0.64,0.19,0.62,0.71,0.82,0.73,0.7,0.55,0.52,0.87,0.91,0.75,0.74,0.77,0.89,0.82,0.91,0.79
libarchive.csv,0.65,0.63,0.7,0.63,0.64,0.78,0.55,0.68,0.44,0.71,0.63,0.44,0.61,0.66,0.72,0.46,0.66,0.07,0.59
linux-ntfs.csv,0.68,0.7,0.82,0.9,0.71,0.73,0.62,0.7,0.22,0.84,0.76,0.42,0.61,0.76,0.61,0.0,0.84,0.58,0.61
lsb.csv,0.68,0.58,0.61,0.02,0.52,0.58,0.75,0.7,0.28,0.6,0.77,0.57,0.59,0.87,0.5,0.59,0.81,0.52,0.63
mp-rechnungs-und-kundenverwaltung.csv,0.83,0.74,0.77,1.0,0.85,0.87,0.94,0.85,0.56,0.86,0.86,0.62,0.06,0.83,0.69,0.87,0.88,0.95,0.75
qcad2.csv,0.62,1.0,0.6,0.72,1.0,0.56,0.15,0.84,0.76,0.55,0.74,0.6,0.61,0.71,0.64,0.77,0.84,1.0,0.56
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stemkit.csv,0.92,1.0,1.0,0.52,0.99,0.96,0.94,0.73,1.0,0.0,0.95,0.96,0.96,0.98,1.0,0.96,1.0,1.0,1.0
xinity.csv,0.62,0.98,0.94,1.0,0.97,0.7,0.73,0.59,0.37,0.55,0.7,0.87,0.72,0.07,0.78,1.0,0.92,0.89,0.84
