,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.0,0.0,0.0,0.02,0.06,0.05,0.04,0.04,0.02,0.0
etherboot.csv,0.13,0.63,0.49,1.0,0.23,0.29,0.49,0.59,0.49,0.51,0.5
ffigo.csv,0.57,0.43,0.56,0.44,0.54,0.64,0.57,0.68,0.97,0.05,0.55
gebr.csv,0.58,0.48,0.57,0.64,0.63,0.91,0.56,0.68,0.62,0.48,0.64
gpac.csv,0.0,0.31,0.54,0.45,0.98,0.24,0.37,0.55,0.45,0.43,0.46
libtorrent.csv,0.24,0.44,0.58,0.53,0.17,0.68,0.99,0.63,0.6,0.17,0.48
miranda.csv,0.45,0.46,0.52,0.5,0.46,0.5,0.6,0.34,0.43,0.53,1.0
modellus.csv,0.44,0.41,0.41,0.4,0.33,0.34,0.31,0.98,0.38,0.35,0.58
mplayer-ce.csv,0.71,0.59,0.5,0.57,0.55,0.56,0.35,0.47,0.54,0.97,0.59
nicepress.csv,0.0,0.4,1.0,0.17,0.17,0.33,0.37,0.24,0.21,0.52,0.32
vapor.csv,0.0,0.97,0.2,0.22,0.27,0.23,0.24,0.01,0.32,0.28,0.34
