,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.01,0.03,0.0,0.03,0.06,0.08,0.0,0.07,0.0,0.03,0.0
etherboot.csv,0.97,0.69,0.55,0.0,0.23,0.92,0.67,0.56,0.59,0.65,0.4
ffigo.csv,0.52,0.39,0.67,0.36,0.68,0.34,0.39,0.43,0.02,0.99,0.56
gebr.csv,0.72,0.79,0.77,0.57,0.51,0.05,0.78,0.63,0.68,0.82,0.71
gpac.csv,0.21,0.39,0.51,0.26,0.02,0.16,0.33,0.56,0.39,0.43,0.45
libtorrent.csv,0.94,0.83,0.71,0.75,0.96,0.34,0.0,0.71,0.73,0.96,0.84
miranda.csv,0.15,0.42,0.41,0.62,0.55,0.16,0.33,0.08,0.27,0.42,0.01
modellus.csv,0.31,0.18,0.16,0.33,0.17,0.03,0.11,0.0,0.11,0.19,0.4
mplayer-ce.csv,0.52,0.45,0.33,0.48,0.62,0.58,0.39,0.35,0.5,0.01,0.47
nicepress.csv,0.1,0.34,0.01,0.2,0.19,0.0,0.11,0.21,0.25,0.68,0.18
vapor.csv,0.01,0.0,0.07,0.03,0.11,0.05,0.0,0.08,0.09,0.19,0.18
