,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.83,0.0,0.0,0.0,0.25,0.62,1.0,0.33,1.0,0.29,1.0
etherboot.csv,0.07,0.3,0.32,1.0,0.5,0.7,0.82,0.53,0.6,0.43,0.7
ffigo.csv,0.08,0.26,0.34,0.29,0.54,0.83,0.89,0.62,0.99,0.45,0.67
gebr.csv,0.08,0.24,0.38,0.31,0.61,0.98,0.86,0.58,0.67,0.46,0.71
gpac.csv,0.0,0.2,0.36,0.36,0.98,0.77,0.84,0.51,0.65,0.44,0.66
libtorrent.csv,0.07,0.23,0.36,0.26,0.54,0.84,1.0,0.55,0.67,0.46,0.68
miranda.csv,0.17,0.27,0.39,0.24,0.5,0.88,0.9,0.78,0.71,0.51,1.0
modellus.csv,0.09,0.41,0.54,0.29,0.67,0.97,0.93,1.0,0.83,0.56,0.74
mplayer-ce.csv,0.1,0.32,0.42,0.31,0.55,0.73,0.82,0.56,0.66,0.99,0.72
nicepress.csv,0.0,0.27,0.97,0.2,0.47,1.0,0.94,0.49,0.56,0.43,0.75
vapor.csv,0.0,1.0,0.55,0.67,0.72,0.9,1.0,0.12,0.84,0.52,0.76
