,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.91,0.0,0.0,0.0,0.03,0.09,0.08,0.06,0.05,0.03,0.01
etherboot.csv,0.13,0.44,0.39,1.0,0.28,0.76,0.65,0.58,0.55,0.49,0.57
ffigo.csv,0.14,0.32,0.45,0.34,0.59,0.72,0.68,0.66,0.98,0.62,0.62
gebr.csv,0.14,0.36,0.54,0.44,0.64,0.94,0.88,0.7,0.74,0.59,0.8
gpac.csv,0.0,0.23,0.44,0.38,0.98,0.32,0.47,0.54,0.51,0.42,0.53
libtorrent.csv,0.14,0.35,0.5,0.38,0.69,0.76,0.99,0.68,0.76,0.62,0.79
miranda.csv,0.24,0.33,0.44,0.33,0.48,0.59,0.71,0.42,0.51,0.51,1.0
modellus.csv,0.14,0.38,0.43,0.32,0.4,0.44,0.42,0.99,0.47,0.4,0.65
mplayer-ce.csv,0.18,0.42,0.45,0.41,0.58,0.67,0.46,0.49,0.6,0.98,0.66
nicepress.csv,0.0,0.31,0.99,0.16,0.22,0.43,0.48,0.28,0.28,0.51,0.41
vapor.csv,0.0,0.98,0.26,0.29,0.35,0.32,0.33,0.02,0.42,0.33,0.43
