,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.0,0.0,0.0,0.02,0.05,0.04,0.03,0.03,0.02,0.0
etherboot.csv,1.0,0.84,0.5,1.0,0.2,0.84,0.55,0.64,0.51,0.58,0.48
ffigo.csv,0.6,0.4,0.67,0.41,0.66,0.63,0.56,0.71,0.97,0.99,0.58
gebr.csv,0.8,0.72,0.92,0.73,0.68,0.9,0.91,0.87,0.82,0.84,0.91
gpac.csv,0.0,0.28,0.56,0.41,0.98,0.2,0.33,0.58,0.42,0.4,0.44
libtorrent.csv,1.0,0.72,0.78,0.73,0.95,0.69,0.99,0.88,0.87,0.98,0.94
miranda.csv,0.4,0.44,0.5,0.55,0.46,0.45,0.59,0.29,0.39,0.52,1.0
modellus.csv,0.4,0.36,0.36,0.36,0.29,0.29,0.27,0.98,0.33,0.31,0.58
mplayer-ce.csv,0.8,0.6,0.47,0.59,0.62,0.61,0.32,0.44,0.55,0.97,0.61
nicepress.csv,0.0,0.36,1.0,0.14,0.14,0.28,0.32,0.2,0.18,0.62,0.28
vapor.csv,0.0,0.96,0.17,0.18,0.23,0.19,0.2,0.01,0.28,0.24,0.3
