,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.21,0.92,0.05,0.14,0.12,0.1
jruby.csv,0.62,0.12,0.61,0.67,0.24,1.0
pdfedit.csv,0.52,0.6,0.52,0.98,0.17,0.39
rectracker.csv,0.83,0.92,0.98,0.84,0.88,0.49
wxlua.csv,0.93,1.0,0.98,0.95,1.0,0.93
x4x.csv,0.98,0.84,0.75,0.91,0.93,0.72
