,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.49,0.04,0.73,0.66,0.65,0.58,0.63,0.72,0.63,0.65,0.63,0.74,0.51
bibletime.csv,0.39,0.53,0.62,0.5,0.66,0.58,0.45,0.6,0.58,0.52,0.76,0.64,0.0
boost.csv,0.75,0.53,0.68,0.84,0.56,0.53,0.63,0.05,0.86,0.73,0.59,0.7,0.68
codepurge.csv,0.52,0.67,0.79,0.72,0.67,0.61,0.94,0.77,0.7,0.63,0.59,0.12,0.79
etics.csv,0.0,0.69,0.81,0.5,0.97,0.72,0.66,0.77,0.87,0.69,0.6,0.71,0.94
gusanos.csv,0.52,0.74,0.58,0.57,0.75,0.82,0.6,0.66,0.04,0.78,0.79,0.67,0.56
kvs.csv,0.47,0.87,0.92,0.63,0.1,0.83,0.61,0.79,0.73,0.65,0.84,0.88,0.85
mcore3d.csv,0.8,0.67,0.02,0.59,0.64,0.8,0.64,0.68,0.52,0.72,0.76,0.64,0.62
modellus.csv,0.48,0.73,0.64,0.65,0.65,0.54,0.01,0.64,0.52,0.56,0.54,0.6,0.7
monetdb.csv,0.76,0.69,0.75,0.73,0.75,0.02,0.58,0.68,0.9,0.55,0.69,0.74,0.81
projecteqemu.csv,0.64,0.68,0.75,0.68,0.96,0.67,0.55,0.67,0.69,0.0,0.53,0.84,0.63
pydev.csv,0.44,0.92,0.66,0.86,0.73,0.73,0.62,0.78,0.79,0.81,0.06,1.0,0.86
xbplayer.csv,0.77,0.74,0.82,0.02,0.95,0.73,0.64,0.91,0.7,0.64,0.74,0.57,0.76
