,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.57,0.55,0.56,0.63,0.49,0.5,0.52,0.61,0.49,0.35,0.43,0.75,0.47
bibletime.csv,0.43,0.44,0.43,0.37,0.48,0.38,0.41,0.43,0.44,0.37,0.36,0.57,0.39
boost.csv,0.5,0.58,0.58,0.54,0.55,0.45,0.51,0.7,0.54,0.48,0.55,0.68,0.41
codepurge.csv,0.53,0.62,0.74,0.68,0.75,0.56,0.9,0.8,0.67,0.54,0.47,0.95,0.84
etics.csv,0.69,0.43,0.41,0.54,0.39,0.37,0.6,0.55,0.44,0.35,0.43,0.5,0.39
gusanos.csv,0.52,0.49,0.38,0.38,0.36,0.42,0.36,0.5,0.4,0.45,0.32,0.43,0.35
kvs.csv,0.68,0.89,0.93,0.73,0.89,0.93,0.65,0.82,0.56,0.56,0.92,0.94,0.9
mcore3d.csv,0.52,0.59,0.47,0.4,0.46,0.4,0.45,0.5,0.48,0.52,0.38,0.49,0.5
modellus.csv,0.54,0.71,0.62,0.41,0.92,0.4,0.48,0.58,0.47,0.54,0.44,0.59,0.61
monetdb.csv,0.71,0.6,0.73,0.56,0.77,0.57,0.54,0.61,0.61,0.53,0.62,0.74,0.74
projecteqemu.csv,0.75,0.76,0.76,0.71,0.9,0.84,0.57,0.7,0.7,0.58,0.6,0.92,0.73
pydev.csv,0.59,0.94,0.68,0.43,0.72,0.94,0.61,0.64,0.54,0.78,0.6,0.86,0.93
xbplayer.csv,0.83,0.72,0.79,0.63,0.5,0.95,0.63,0.86,0.61,0.59,0.59,0.76,0.67
