,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.63,0.97,0.39,0.44,0.57,0.54,0.57,0.36,0.46,0.64,0.59,0.33,0.56
bibletime.csv,0.75,0.68,0.64,0.68,0.54,0.7,0.71,0.58,0.52,0.68,0.59,0.54,1.0
boost.csv,0.58,0.65,0.54,0.48,0.6,0.72,0.56,0.96,0.46,0.58,0.64,0.37,0.64
codepurge.csv,0.57,0.41,0.26,0.5,0.4,0.47,0.07,0.28,0.38,0.52,0.55,0.9,0.28
etics.csv,1.0,0.62,0.52,0.73,0.17,0.59,0.42,0.56,0.43,0.64,0.63,0.6,0.26
gusanos.csv,0.62,0.5,0.64,0.7,0.57,0.43,0.64,0.54,0.99,0.39,0.53,0.63,0.62
kvs.csv,0.64,0.18,0.1,0.48,0.92,0.2,0.46,0.25,0.43,0.49,0.2,0.15,0.18
mcore3d.csv,0.45,0.49,1.0,0.61,0.55,0.51,0.55,0.52,0.6,0.42,0.52,0.64,0.49
modellus.csv,0.58,0.34,0.42,0.68,0.4,0.64,0.99,0.46,0.57,0.51,0.61,0.55,0.37
monetdb.csv,0.41,0.52,0.44,0.59,0.38,0.98,0.57,0.42,0.43,0.69,0.45,0.41,0.38
projecteqemu.csv,0.43,0.38,0.33,0.47,0.06,0.39,0.52,0.41,0.38,1.0,0.58,0.2,0.45
pydev.csv,0.69,0.11,0.48,0.45,0.39,0.33,0.45,0.45,0.5,0.26,0.95,0.0,0.2
xbplayer.csv,0.27,0.33,0.24,0.98,0.06,0.33,0.42,0.13,0.37,0.46,0.35,0.5,0.31
