,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.73,0.95,0.05,0.18,0.8,0.89,0.59
libtorrent.csv,0.69,0.39,0.05,0.28,0.76,1.0,0.56
mcmc-jags.csv,0.73,0.36,0.07,1.0,0.76,0.9,0.64
olap-navigator.csv,1.0,0.4,0.06,0.54,0.87,0.98,0.56
pidgin.csv,0.74,0.44,0.07,0.31,1.0,0.88,0.56
sepgsql.csv,0.69,0.33,1.0,0.0,0.73,0.5,0.0
xstore.csv,0.8,0.42,0.11,0.86,0.83,0.89,1.0
