,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.12,0.0,0.09,0.99,0.04,0.0,0.0,0.27,0.07,0.0
coot.csv,0.54,0.37,0.59,0.0,0.46,0.54,0.35,0.52,0.0,0.75
haggle.csv,0.12,0.69,0.65,0.0,0.35,0.05,0.14,0.69,0.49,0.6
ibatisdb.csv,0.24,0.58,0.27,0.0,0.81,0.36,0.0,0.29,0.51,0.57
jas.csv,0.23,0.3,0.39,0.69,0.07,0.59,0.87,0.62,0.64,0.33
mesa3d.csv,0.45,0.62,0.59,0.68,0.52,0.65,0.15,0.21,0.54,0.55
ngl.csv,0.59,0.48,0.35,0.87,0.29,0.68,0.69,0.27,0.29,0.64
pustefix.csv,0.12,0.52,0.6,0.61,0.2,0.57,0.13,0.34,0.61,0.3
scenemonitor.csv,0.68,0.48,0.49,0.38,0.32,0.65,0.42,0.43,0.53,0.42
wsmt.csv,0.58,0.16,0.13,0.38,0.1,0.13,0.41,0.81,0.01,0.1
