,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.5,0.0,0.8,0.83,0.67,0.5,0.86,0.79,0.89,0.0
coot.csv,0.41,0.76,0.47,0.0,0.73,0.49,0.59,0.42,0.0,0.42
haggle.csv,0.67,0.39,0.47,0.88,0.46,0.94,0.59,0.53,0.45,0.46
ibatisdb.csv,0.83,0.43,0.68,0.77,0.57,0.72,0.8,0.48,0.61,0.42
jas.csv,0.92,0.88,0.49,0.69,0.96,0.47,0.76,0.57,0.42,0.69
mesa3d.csv,0.75,0.56,0.44,0.6,0.64,0.46,0.93,0.43,0.51,0.42
ngl.csv,0.33,0.41,0.48,0.48,0.47,0.49,0.44,0.33,0.88,0.47
pustefix.csv,0.8,0.78,0.59,0.46,0.71,0.6,0.43,0.64,0.5,0.71
scenemonitor.csv,0.47,0.41,0.44,0.75,0.56,0.42,0.58,0.38,0.44,0.52
wsmt.csv,0.52,0.89,0.93,0.5,0.81,0.97,0.84,0.64,0.83,0.8
