,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.18,0.0,0.13,0.67,0.05,0.0,0.0,0.33,0.1,0.0
coot.csv,0.49,0.26,0.65,0.0,0.3,0.58,0.06,0.64,0.0,0.75
haggle.csv,0.17,0.49,0.71,0.0,0.27,0.07,0.05,0.7,0.3,0.6
ibatisdb.csv,0.31,0.41,0.34,0.0,0.7,0.43,0.0,0.31,0.38,0.59
jas.csv,0.24,0.31,0.48,0.21,0.07,0.61,0.42,0.63,0.38,0.35
mesa3d.csv,0.5,0.49,0.65,0.17,0.38,0.66,0.09,0.22,0.4,0.62
ngl.csv,0.58,0.45,0.78,0.19,0.24,0.7,0.16,0.71,0.29,0.71
pustefix.csv,0.16,0.48,0.68,0.11,0.15,0.59,0.12,0.37,0.36,0.31
scenemonitor.csv,0.67,0.33,0.55,0.29,0.27,0.66,0.15,0.49,0.35,0.44
wsmt.csv,0.51,0.19,0.18,0.4,0.07,0.19,0.1,0.82,0.03,0.13
