,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.81,0.01,0.32,0.02,0.53,0.58,0.15,0.42,0.03,0.64,0.54,0.28,0.29
bibletime.csv,0.6,0.54,0.67,0.64,0.66,0.63,0.51,0.71,0.48,0.8,0.84,0.63,0.0
boost.csv,0.48,0.27,0.39,0.43,0.33,0.22,0.2,0.01,0.28,0.69,0.32,0.21,0.36
codepurge.csv,0.26,0.18,0.09,0.33,0.13,0.34,0.01,0.07,0.14,0.36,0.28,0.0,0.0
etics.csv,0.0,0.11,0.19,0.24,0.11,0.21,0.34,0.05,0.31,0.18,0.28,0.12,0.36
gusanos.csv,0.57,0.41,0.47,0.65,0.51,0.45,0.42,0.43,0.03,0.36,0.57,0.52,0.57
kvs.csv,0.07,0.23,0.16,0.89,0.0,0.07,0.17,0.21,0.97,0.24,0.1,0.01,0.07
mcore3d.csv,0.29,0.51,0.04,0.36,0.71,0.51,0.47,0.51,0.45,0.29,0.62,0.64,0.29
modellus.csv,0.19,0.09,0.32,0.26,0.09,0.14,0.01,0.61,0.07,0.22,0.33,0.41,0.29
monetdb.csv,0.12,0.16,0.28,0.33,0.17,0.01,0.37,0.23,0.38,0.2,0.29,0.19,0.0
projecteqemu.csv,0.07,0.17,0.14,0.2,0.13,0.19,0.13,0.06,0.21,0.02,0.17,0.11,0.14
pydev.csv,0.07,0.27,0.05,0.32,0.26,0.16,0.15,0.07,0.17,0.27,0.03,0.12,0.14
xbplayer.csv,0.02,0.09,0.07,0.0,0.03,0.04,0.12,0.15,0.1,0.16,0.17,0.14,0.14
