,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.35,0.98,0.51,0.17,0.31,0.47,0.28,0.49,0.0,0.62,0.48,0.19,0.78
bibletime.csv,0.38,0.67,0.72,0.5,0.25,0.53,0.69,0.58,0.75,0.64,0.5,0.19,0.98
boost.csv,0.47,0.43,0.58,0.43,0.36,0.55,0.63,0.97,0.56,0.56,0.53,0.28,0.74
codepurge.csv,0.45,0.5,0.26,0.52,0.38,0.54,0.09,0.21,0.46,0.58,0.45,0.98,0.41
etics.csv,0.96,0.5,0.46,0.46,0.35,0.4,0.61,0.19,0.51,0.65,0.41,0.32,0.62
gusanos.csv,0.32,0.65,0.7,0.54,0.34,0.52,0.63,0.39,0.99,0.54,0.51,0.32,0.77
kvs.csv,0.48,0.3,0.31,0.43,0.97,0.36,0.5,0.17,0.75,0.46,0.38,0.0,0.16
mcore3d.csv,0.39,0.5,0.98,0.53,0.24,0.31,0.48,0.47,0.67,0.39,0.4,0.23,0.7
modellus.csv,0.5,0.41,0.6,0.45,0.2,0.46,0.98,0.56,0.56,0.61,0.45,0.25,0.69
monetdb.csv,0.29,0.49,0.4,0.24,0.17,0.95,0.37,0.21,0.34,0.47,0.49,0.14,0.14
projecteqemu.csv,0.4,0.41,0.48,0.42,0.12,0.45,0.45,0.3,0.46,0.96,0.15,0.18,0.51
pydev.csv,0.48,0.46,0.41,0.4,0.14,0.44,0.44,0.3,0.45,0.63,0.93,0.29,0.3
xbplayer.csv,0.13,0.31,0.3,0.96,0.09,0.3,0.44,0.33,0.43,0.49,0.34,0.24,0.21
