,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.03,0.39,0.01,0.65,0.67,0.0,0.28,0.38,0.36,0.2
ffigo.csv,0.28,0.42,0.03,0.65,0.83,0.33,0.23,0.0,0.82,0.4
foursquared.csv,0.0,0.23,0.02,0.15,0.88,0.06,0.0,0.0,0.0,0.0
gebr.csv,0.83,0.98,0.66,1.0,1.0,0.81,0.93,1.0,0.95,1.0
ildjit.csv,0.76,0.26,0.31,0.3,0.33,0.56,0.26,0.0,0.37,0.15
jfreereport.csv,0.03,0.43,0.13,0.6,0.25,0.25,0.3,0.0,0.28,0.2
kml.csv,0.41,0.99,0.56,1.0,1.0,0.75,0.92,1.0,0.82,0.95
ng4j.csv,0.31,0.89,0.46,0.6,0.92,0.72,0.58,0.25,0.46,0.8
pcsx2.csv,0.07,0.63,0.74,0.95,0.46,0.61,0.75,0.0,0.34,0.75
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.06,0.02,1.0,0.0,0.0
