,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.12,0.11,1.0,0.5,0.36,0.0,0.79,0.2,0.77,0.2
ffigo.csv,0.19,0.1,1.0,0.41,0.39,1.0,0.84,0.0,0.84,0.38
foursquared.csv,0.0,0.34,1.0,0.43,0.7,1.0,0.0,0.0,0.0,0.0
gebr.csv,0.25,0.14,0.92,0.33,0.34,0.59,0.68,0.09,0.65,0.26
ildjit.csv,0.56,0.21,0.79,0.38,0.42,0.49,0.69,0.0,0.68,0.2
jfreereport.csv,0.06,0.26,1.0,0.48,1.0,1.0,0.83,0.0,0.88,0.5
kml.csv,0.14,0.13,0.96,0.33,0.34,0.84,0.73,0.09,0.66,0.27
ng4j.csv,0.15,0.15,0.94,0.5,0.44,0.7,0.79,0.05,0.8,0.64
pcsx2.csv,0.07,0.2,0.83,0.38,0.52,0.76,0.82,0.0,0.84,0.41
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.5,0.6,0.31,0.0,0.0
