,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.07,0.49,0.0,0.28,0.61,0.0,0.14,0.13,0.18,0.27
ffigo.csv,0.36,0.59,0.0,0.41,0.67,0.0,0.09,0.14,0.27,0.22
foursquared.csv,0.0,0.07,0.0,0.09,0.2,0.0,0.0,0.04,0.0,0.0
gebr.csv,0.74,0.96,0.16,0.89,1.0,0.51,0.83,0.92,0.86,0.98
ildjit.csv,0.18,0.15,0.21,0.22,0.24,0.54,0.23,0.24,0.3,0.2
jfreereport.csv,0.18,0.18,0.0,0.28,0.0,0.0,0.12,0.04,0.07,0.07
kml.csv,0.74,0.99,0.05,0.87,1.0,0.13,0.65,0.93,0.73,0.88
ng4j.csv,0.55,0.75,0.08,0.26,0.61,0.28,0.29,0.41,0.2,0.15
pcsx2.csv,0.27,0.38,0.39,0.67,0.22,0.18,0.32,0.1,0.11,0.37
wxjs.csv,0.01,0.13,0.0,0.02,0.02,0.05,0.02,0.2,0.0,0.03
