,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.5,0.8,0.82,0.74,0.8,0.66,0.44,0.61,0.31,0.75,0.57,0.7,0.3,0.65,0.71,0.54
amygdala.csv,0.6,0.96,0.74,0.54,0.88,0.73,0.57,0.77,0.88,0.88,0.76,0.44,0.79,0.57,0.72,0.9
awemud.csv,0.55,0.48,0.77,0.78,0.49,0.61,0.57,0.74,0.69,1.01,0.68,0.58,0.51,0.67,0.77,0.62
bullet.csv,0.61,0.74,0.9,0.34,0.64,0.39,0.61,0.81,0.83,1.04,0.82,0.67,0.73,1.0,0.7,0.69
customwars.csv,0.52,0.68,0.86,0.69,0.77,0.67,0.61,0.81,0.27,1.0,0.61,0.73,0.37,0.58,0.82,0.51
dvd-create.csv,0.64,0.67,0.69,1.05,0.24,0.48,0.81,0.68,0.72,1.0,0.85,0.49,0.91,0.72,0.58,0.76
gbif-indexingtoolkit.csv,0.5,0.9,0.73,0.51,1.0,0.77,0.69,0.42,0.46,1.0,0.72,0.62,0.62,0.75,0.74,0.71
go.csv,0.69,0.36,0.58,0.8,0.79,0.64,0.48,0.75,0.51,1.0,0.69,0.48,0.67,0.57,0.65,0.61
gss.csv,0.74,0.86,0.82,0.33,0.38,0.81,0.55,0.88,0.6,1.01,0.94,0.65,0.62,0.89,1.0,0.31
kwave.csv,0.65,1.0,0.5,1.0,1.0,0.65,0.83,0.85,0.83,0.51,0.87,0.8,0.89,0.76,0.81,0.57
lsb.csv,0.49,0.79,0.93,0.29,0.84,0.52,0.61,0.64,0.32,1.0,0.91,0.85,0.45,0.58,0.82,0.9
mpgravity.csv,0.83,0.48,0.84,0.93,0.84,0.8,0.94,0.92,1.0,0.27,1.0,0.86,1.0,0.76,0.85,1.0
qcad2.csv,0.63,0.65,0.82,0.68,0.81,0.63,0.39,0.7,0.28,0.47,0.69,0.73,0.41,0.7,0.72,0.73
qtwin.csv,0.93,1.0,1.0,1.0,1.0,0.97,0.92,0.7,0.09,0.84,0.78,0.92,0.86,0.63,0.73,0.83
roller.csv,0.62,0.4,0.73,0.96,0.66,0.8,0.77,0.75,0.88,0.62,0.72,0.84,0.87,0.4,0.74,1.01
xinity.csv,0.96,1.01,0.58,1.13,0.98,0.88,0.85,0.74,1.1,1.0,0.88,0.8,1.05,0.71,0.49,0.82
