,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.13,0.42,0.0,0.47,0.32,0.4,0.28,0.46,0.6,0.52,0.68,0.0,0.0,0.47,0.71,0.49,0.85,0.52,0.0
fityk.csv,0.33,0.33,0.92,0.7,0.32,0.09,0.54,0.63,0.59,0.64,0.47,0.7,0.6,0.41,0.58,0.73,0.32,0.65,0.05
ivataopenportal.csv,0.55,0.63,0.75,0.2,0.45,0.71,0.39,0.23,0.46,0.43,0.6,0.0,0.0,0.49,0.27,0.44,0.75,0.0,0.13
lcfizvtop.csv,0.78,0.36,0.35,0.53,0.41,0.36,0.43,0.52,0.53,0.54,0.81,0.0,0.64,0.44,0.59,0.41,0.54,0.72,0.51
lite.csv,0.0,0.1,0.31,0.07,0.15,0.3,0.02,0.29,0.29,0.3,0.21,0.0,0.0,0.32,0.71,0.13,0.02,0.17,0.0
onotoa.csv,0.0,0.25,0.64,0.31,0.63,0.34,0.38,0.67,0.37,0.51,0.33,0.67,0.17,0.38,0.48,0.49,0.5,0.24,0.17
openwbem.csv,0.63,0.58,0.62,0.52,0.67,0.45,0.32,0.59,0.34,0.27,0.11,0.91,0.55,0.58,0.37,0.5,0.07,0.64,0.27
orc.csv,0.06,0.53,0.5,0.89,0.1,0.53,0.52,0.43,0.43,0.3,0.68,0.0,0.0,0.53,0.74,0.36,0.2,0.27,0.0
plato.csv,0.33,0.0,0.0,0.16,0.27,0.2,0.84,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.21,0.0,0.33,0.0,0.0
rodin-b-sharp.csv,0.58,0.06,0.0,0.55,0.19,0.2,0.46,0.34,0.29,0.83,0.21,0.0,0.0,0.42,0.0,0.06,0.45,0.32,0.0
ta3d.csv,0.85,0.17,0.07,0.15,0.33,0.17,0.17,0.24,0.07,0.11,0.11,0.0,0.07,0.24,0.16,0.06,0.13,0.62,0.87
tycho.csv,0.24,0.39,0.0,0.36,0.31,0.52,0.25,0.48,0.07,0.25,0.21,0.94,0.72,0.42,0.31,0.31,0.04,0.49,0.87
umber.csv,0.96,0.17,0.0,0.34,0.48,0.43,0.0,0.52,0.51,0.65,0.46,0.27,0.25,0.66,0.54,0.32,0.0,0.59,0.0
vienna-add-in.csv,0.7,0.49,0.0,0.32,0.71,0.45,0.54,0.66,0.4,0.38,0.0,0.85,0.66,0.68,0.53,0.47,0.4,0.44,0.0
wpdev.csv,0.09,0.05,0.99,0.05,0.09,0.0,0.0,0.4,0.0,0.0,0.0,0.56,0.17,0.0,0.09,0.0,0.38,0.0,0.0
xcmetadataservicestoolkit.csv,0.87,0.37,0.65,0.22,0.59,0.49,0.31,0.59,0.22,0.64,0.11,0.3,0.2,0.78,0.31,0.43,0.36,0.0,0.09
yarp0.csv,0.53,0.59,0.61,0.59,0.27,0.38,0.53,0.37,0.64,0.73,0.68,0.0,0.13,0.55,0.56,0.51,0.62,0.54,0.0
