,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.67,0.47,0.9,0.5,0.62
n2cms.csv,0.42,0.51,0.83,0.77,0.77
nassp.csv,0.76,0.8,0.77,0.33,0.81
nug.csv,0.92,0.77,0.28,0.68,0.81
oorexx.csv,0.97,0.51,0.79,0.53,0.56
