,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.55,0.23,0.24,0.68,0.63,0.91,0.63,0.88,0.53,1.0,0.43,0.75
miranda-icq.csv,0.39,0.21,0.24,0.86,0.17,0.43,0.47,0.02,0.27,0.0,0.4,0.16
pclasses.csv,0.25,0.48,0.0,0.2,0.17,0.04,0.18,0.0,0.01,0.0,0.37,0.72
pfaedit.csv,0.07,0.15,0.0,0.32,0.2,0.02,0.58,0.05,0.0,0.0,0.35,0.12
rockbox.csv,0.21,0.67,0.0,0.38,0.51,0.26,0.47,0.08,0.07,0.0,0.39,0.31
theresa.csv,0.3,0.38,0.14,0.24,0.34,0.04,0.26,0.64,0.34,0.0,0.23,0.06
thrust.csv,0.07,0.19,0.14,0.0,0.57,0.15,0.24,0.43,0.45,0.0,0.23,0.25
tktoolkit.csv,0.68,0.92,0.24,0.72,0.77,0.68,0.66,0.14,0.97,1.0,0.67,0.91
trinitycore.csv,0.41,0.19,0.0,0.54,0.54,0.64,0.76,0.1,0.1,0.0,0.35,0.12
tzod.csv,0.21,0.33,0.31,0.18,0.4,0.21,0.5,0.83,0.51,0.0,0.34,0.28
yaprm.csv,0.39,0.23,0.0,0.26,0.0,0.23,0.37,0.08,0.0,0.0,0.23,0.12
