,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.21,0.35,0.84,0.1,0.45,0.42,0.39,0.18,0.42,0.78,0.36,0.52
miranda-icq.csv,0.35,0.52,0.65,0.12,0.46,0.24,0.47,0.07,0.51,0.71,0.41,0.5
pclasses.csv,0.53,0.44,0.0,0.0,0.21,0.0,0.13,0.08,0.0,0.41,0.36,0.5
pfaedit.csv,0.0,0.58,0.0,0.19,0.8,0.11,0.67,0.29,0.04,0.6,0.38,0.41
rockbox.csv,0.23,0.58,0.0,0.24,0.73,0.29,0.61,0.24,0.03,0.51,0.44,0.68
theresa.csv,0.13,0.57,0.42,0.33,0.73,0.0,0.51,0.23,0.31,0.68,0.41,0.5
thrust.csv,0.0,0.2,0.59,0.0,0.56,0.55,0.36,0.24,0.22,0.29,0.28,0.41
tktoolkit.csv,0.22,0.55,0.57,0.1,0.74,0.42,0.64,0.42,0.41,0.93,0.33,0.55
trinitycore.csv,0.42,0.4,0.14,0.18,0.75,0.29,0.64,0.27,0.28,0.68,0.49,0.23
tzod.csv,0.08,0.54,0.78,0.29,0.69,0.26,0.51,0.2,0.41,0.73,0.36,0.35
yaprm.csv,0.26,0.45,0.0,0.22,0.04,0.3,0.68,0.33,0.11,0.74,0.38,0.41
