,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.02,0.32,0.1,0.45,0.67,0.8,0.44,0.17,0.35,0.33,0.29,0.69,0.35,0.49,0.03,0.97
aztec.csv,0.21,0.32,0.05,0.45,0.17,0.16,0.31,0.28,0.11,0.75,0.29,0.77,0.1,0.28,0.18,0.66
bl-toolkit.csv,1.0,0.85,0.57,0.64,0.89,0.74,0.69,0.44,0.54,0.92,0.95,0.77,0.3,0.85,0.66,1.0
co-ode-owl-plugins.csv,0.0,0.37,0.19,0.64,0.72,0.88,0.59,0.44,0.54,0.25,0.46,0.77,0.45,0.62,0.18,0.97
gbif-indexingtoolkit.csv,0.62,0.1,0.33,0.73,0.28,0.52,0.49,0.83,0.57,0.5,0.73,0.85,0.4,0.43,0.23,1.0
gnukeda.csv,0.4,0.68,0.86,0.73,0.33,0.22,0.74,0.94,0.22,0.54,0.2,0.62,0.62,0.57,0.87,0.06
motu.csv,0.17,0.66,0.57,0.82,1.0,0.46,0.59,0.94,0.84,0.33,0.83,0.92,0.65,0.94,0.81,0.14
oscarmcmaster.csv,0.74,0.34,0.33,0.45,0.17,0.94,0.64,0.94,0.62,0.08,0.73,0.92,0.68,0.6,0.23,0.83
pamguard.csv,0.95,0.61,0.24,0.36,0.67,0.34,0.15,0.22,0.57,0.38,0.66,0.85,0.28,0.57,0.37,1.0
prelude.csv,0.86,0.32,1.0,0.73,0.61,0.76,0.79,0.72,0.95,0.79,0.93,0.85,0.88,0.89,0.91,0.91
qdvdauthor.csv,0.76,0.61,0.19,0.36,0.33,0.8,0.62,0.67,0.68,0.21,0.2,0.46,0.75,0.43,0.41,0.8
qlc.csv,0.5,0.22,0.48,0.45,0.17,0.42,0.36,0.67,0.49,0.04,0.36,0.31,0.57,0.45,0.14,0.0
scite-ru.csv,0.1,0.66,0.62,0.64,0.61,0.94,0.67,0.83,0.89,0.12,0.95,0.62,0.72,0.81,0.65,0.49
tencompetence.csv,0.6,0.12,0.05,0.18,0.11,0.12,0.26,0.39,0.41,0.04,0.37,0.23,0.12,0.17,0.81,0.06
trackit.csv,0.07,0.63,0.19,0.18,0.61,0.12,0.36,0.06,0.19,0.62,0.0,0.15,0.3,0.28,0.15,0.17
yaprm.csv,0.14,0.41,0.67,0.36,0.22,0.12,0.46,0.56,0.68,0.5,0.68,0.08,0.62,0.45,0.48,0.0
