,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.5,0.58,0.75,0.55,0.94,0.53,0.84,0.96,0.6,0.98,0.92,0.44,0.67,0.73,0.97,0.7
aztec.csv,0.93,0.62,0.67,0.57,0.5,0.9,0.72,0.93,0.88,0.82,0.77,0.39,0.83,0.64,0.76,0.76
bl-toolkit.csv,0.49,0.42,0.46,0.57,0.39,0.48,0.57,0.57,0.51,0.46,0.33,0.38,0.91,0.38,0.47,0.56
co-ode-owl-plugins.csv,0.0,0.6,0.83,0.43,0.95,0.47,0.7,0.66,0.49,0.98,0.62,0.43,0.54,0.63,0.91,0.71
gbif-indexingtoolkit.csv,0.72,0.88,0.85,0.6,0.71,0.65,0.7,0.5,0.47,0.71,0.39,0.42,0.67,0.59,0.82,0.57
gnukeda.csv,0.68,0.56,0.41,0.4,0.58,0.78,0.53,0.41,0.77,0.48,0.82,0.58,0.39,0.56,0.51,0.86
motu.csv,0.86,0.51,0.47,0.37,0.42,0.58,0.42,0.39,0.34,0.46,0.35,0.41,0.35,0.4,0.58,0.84
oscarmcmaster.csv,0.47,0.5,0.87,0.38,0.59,0.4,0.53,0.44,0.45,0.93,0.35,0.33,0.44,0.45,0.56,0.58
pamguard.csv,0.49,0.55,0.63,0.73,0.58,0.74,0.79,0.87,0.51,0.54,0.46,0.45,0.69,0.46,0.56,0.56
prelude.csv,0.49,0.58,0.32,0.38,0.39,0.47,0.44,0.41,0.33,0.44,0.31,0.42,0.35,0.37,0.47,0.56
qdvdauthor.csv,0.6,0.62,0.91,0.64,0.93,0.5,0.61,0.64,0.46,0.98,0.93,0.54,0.47,0.76,0.79,0.71
qlc.csv,0.35,0.67,0.38,0.39,0.56,0.45,0.44,0.4,0.43,0.97,0.45,0.88,0.36,0.52,0.63,0.0
scite-ru.csv,0.8,0.65,0.52,0.39,0.6,0.43,0.51,0.51,0.37,0.64,0.34,0.53,0.34,0.48,0.67,0.42
tencompetence.csv,0.63,0.83,0.0,0.89,0.93,0.92,0.72,0.75,0.76,0.99,0.63,0.83,0.89,0.93,0.67,0.74
trackit.csv,0.75,0.51,0.93,0.77,0.94,0.92,0.89,0.86,0.95,0.95,0.0,0.67,0.89,0.96,0.98,0.89
yaprm.csv,0.67,0.73,0.36,0.59,0.51,0.71,0.44,0.43,0.43,0.44,0.35,0.5,0.42,0.57,0.81,0.88
