,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.02,0.36,0.12,0.46,0.71,0.67,0.46,0.2,0.38,0.38,0.33,0.4,0.38,0.52,0.04,0.93
aztec.csv,0.24,0.37,0.06,0.48,0.2,0.19,0.35,0.32,0.13,0.76,0.33,0.66,0.12,0.32,0.21,0.66
bl-toolkit.csv,0.0,0.58,0.41,0.65,0.09,0.75,0.42,0.4,0.46,0.27,0.13,0.62,0.32,0.46,0.56,0.0
co-ode-owl-plugins.csv,0.0,0.41,0.23,0.5,0.75,0.65,0.56,0.48,0.5,0.29,0.48,0.59,0.45,0.62,0.21,0.94
gbif-indexingtoolkit.csv,0.28,0.12,0.37,0.74,0.31,0.56,0.5,0.56,0.53,0.51,0.41,0.62,0.4,0.46,0.27,0.13
gnukeda.csv,0.45,0.51,0.47,0.36,0.34,0.25,0.74,0.3,0.25,0.39,0.23,0.58,0.52,0.55,0.32,0.07
motu.csv,0.2,0.53,0.57,0.42,0.41,0.49,0.61,0.61,0.48,0.33,0.23,0.84,0.59,0.44,0.65,0.17
oscarmcmaster.csv,0.69,0.38,0.38,0.45,0.2,0.51,0.64,0.46,0.58,0.1,0.57,0.78,0.64,0.6,0.26,0.42
pamguard.csv,0.0,0.62,0.28,0.4,0.65,0.38,0.18,0.25,0.55,0.41,0.65,0.65,0.32,0.54,0.41,0.0
prelude.csv,0.87,0.34,0.65,0.48,0.3,0.31,0.48,0.59,0.0,0.26,0.4,0.44,0.65,0.48,0.37,0.2
qdvdauthor.csv,0.0,0.58,0.23,0.39,0.38,0.31,0.45,0.61,0.59,0.25,0.24,0.43,0.76,0.47,0.45,0.52
qlc.csv,0.54,0.26,0.5,0.47,0.2,0.45,0.41,0.66,0.52,0.05,0.39,0.36,0.6,0.49,0.17,0.0
scite-ru.csv,0.12,0.64,0.63,0.46,0.56,0.0,0.59,0.73,0.58,0.14,0.33,0.59,0.67,0.64,0.63,0.52
tencompetence.csv,0.63,0.15,0.06,0.21,0.13,0.14,0.3,0.4,0.44,0.05,0.4,0.27,0.14,0.2,0.79,0.07
trackit.csv,0.09,0.6,0.22,0.21,0.66,0.14,0.39,0.07,0.22,0.64,0.0,0.18,0.34,0.32,0.18,0.2
yaprm.csv,0.17,0.44,0.6,0.37,0.23,0.14,0.5,0.57,0.68,0.42,0.56,0.1,0.63,0.45,0.5,0.0
