,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.5,0.23,0.64,0.42,0.54,0.77,0.47,0.27,0.14,0.89,0.98,0.47,0.28,0.31,0.69,0.14,0.75,0.39
buddata-ebxml-registry.csv,1.0,0.83,1.0,1.0,0.8,0.98,0.88,1.0,1.0,1.0,0.81,1.0,1.0,0.81,1.0,0.95,1.0,0.93
co-ode-owl-plugins.csv,0.71,0.49,0.64,0.58,0.65,0.82,0.56,0.57,0.24,0.67,0.96,0.8,0.72,0.06,0.32,0.19,0.22,0.6
firebreath.csv,0.83,0.49,1.0,0.83,0.52,0.89,0.56,0.63,0.48,0.33,0.41,0.53,0.67,0.81,0.83,0.57,0.94,0.45
gretl.csv,0.92,0.83,0.55,0.75,0.59,0.91,0.91,0.55,0.33,0.89,0.72,1.0,0.56,0.25,0.72,0.57,0.64,0.7
konversation.csv,0.21,0.34,0.45,0.75,0.43,0.41,0.44,0.48,0.19,0.44,0.09,0.67,0.83,0.31,0.45,0.43,0.31,0.18
lazarus-ccr.csv,0.83,0.54,1.0,0.25,0.83,0.61,0.79,0.63,0.57,0.78,0.33,0.8,0.89,0.88,1.0,0.81,0.97,0.48
linuxsh.csv,0.58,0.46,0.73,0.08,0.15,0.68,0.35,0.17,0.0,0.67,0.96,0.67,0.06,0.0,0.13,0.14,0.16,0.54
migen.csv,0.42,0.4,0.27,0.67,0.54,0.48,0.68,0.3,0.05,0.67,0.22,0.67,0.06,0.06,0.27,0.14,0.18,0.31
moviesandbox.csv,0.5,0.83,0.36,0.92,0.52,0.75,0.35,0.55,0.1,0.56,0.78,0.73,0.78,0.06,0.18,0.29,0.2,0.69
mvnforum.csv,0.0,0.17,0.64,0.08,0.39,0.52,0.29,0.3,0.05,0.61,0.56,0.27,0.61,0.38,0.47,0.57,0.53,0.22
ontomorphtab.csv,0.46,0.66,0.82,0.83,0.76,0.86,0.71,0.7,0.57,0.28,0.63,0.73,0.28,0.31,0.56,0.62,0.59,0.46
opengs.csv,0.17,0.14,0.55,0.58,0.63,0.73,0.29,0.37,0.14,0.17,0.78,0.4,0.5,0.0,0.4,0.43,0.36,0.24
plplot.csv,0.42,0.23,0.82,0.08,0.41,0.77,0.5,0.22,0.29,0.17,0.81,0.27,0.5,0.25,0.58,0.62,0.59,0.1
scite-ru.csv,1.0,0.91,0.82,0.75,0.85,0.91,0.82,0.72,0.38,0.83,0.96,1.0,0.94,0.81,0.52,0.9,0.47,0.67
tokratan.csv,0.12,0.29,0.64,0.58,0.48,0.61,0.53,0.3,0.05,0.06,0.59,0.53,0.67,0.12,0.6,0.67,0.39,0.31
vrjuggler.csv,0.54,0.57,0.0,0.42,0.0,0.2,0.21,0.12,0.24,0.67,0.24,0.4,0.39,0.62,0.05,0.1,0.09,0.52
xuggle.csv,0.67,0.49,0.73,0.58,0.74,0.75,0.53,0.58,0.62,0.28,0.85,0.87,0.83,0.19,0.6,0.62,0.7,0.57
