,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.46,0.34,0.28,0.33,0.24,0.65,0.42,0.33,0.17,0.39,0.61,0.15,0.29,0.22,0.77,0.14,0.77,0.56
buddata-ebxml-registry.csv,0.63,0.74,0.29,0.22,0.24,0.75,0.62,0.56,0.45,0.3,0.53,0.2,0.45,0.32,0.91,0.41,0.76,0.96
co-ode-owl-plugins.csv,0.62,0.55,0.38,0.38,0.21,0.73,0.53,0.52,0.33,0.63,0.62,0.17,0.48,0.1,0.47,0.2,0.31,0.73
firebreath.csv,0.66,0.61,0.3,0.3,0.27,0.74,0.57,0.57,0.41,0.13,0.36,0.25,0.46,0.31,0.85,0.56,0.75,0.62
gretl.csv,0.61,0.79,0.27,0.31,0.27,0.68,0.61,0.46,0.27,0.34,0.52,0.2,0.43,0.19,0.8,0.44,0.64,0.82
konversation.csv,0.32,0.48,0.36,0.46,0.32,0.55,0.5,0.53,0.22,0.43,0.14,0.2,0.53,0.28,0.61,0.46,0.4,0.3
lazarus-ccr.csv,0.77,0.58,0.29,0.07,0.17,0.55,0.57,0.45,0.37,0.44,0.34,0.21,0.51,0.38,0.91,0.42,0.75,0.63
linuxsh.csv,0.5,0.55,0.44,0.09,0.19,0.64,0.42,0.23,0.0,0.52,0.58,0.16,0.07,0.0,0.23,0.22,0.26,0.69
migen.csv,0.38,0.53,0.24,0.38,0.4,0.58,0.64,0.32,0.09,0.52,0.32,0.2,0.08,0.1,0.41,0.2,0.28,0.47
moviesandbox.csv,0.47,0.73,0.31,0.36,0.24,0.71,0.41,0.52,0.15,0.47,0.66,0.2,0.45,0.11,0.3,0.26,0.3,0.8
mvnforum.csv,0.0,0.26,0.25,0.07,0.2,0.53,0.39,0.36,0.09,0.63,0.55,0.12,0.51,0.29,0.58,0.31,0.54,0.36
ontomorphtab.csv,0.46,0.75,0.32,0.31,0.34,0.75,0.59,0.57,0.4,0.12,0.51,0.32,0.25,0.22,0.71,0.54,0.63,0.63
opengs.csv,0.29,0.25,0.27,0.42,0.36,0.68,0.36,0.39,0.24,0.29,0.71,0.18,0.32,0.0,0.55,0.44,0.46,0.39
plplot.csv,0.5,0.35,0.3,0.09,0.3,0.72,0.54,0.32,0.39,0.11,0.65,0.22,0.42,0.15,0.69,0.57,0.58,0.19
scite-ru.csv,0.64,0.78,0.35,0.26,0.22,0.73,0.6,0.53,0.36,0.31,0.68,0.23,0.45,0.38,0.66,0.45,0.52,0.78
tokratan.csv,0.2,0.42,0.41,0.45,0.35,0.63,0.56,0.37,0.09,0.11,0.67,0.32,0.44,0.12,0.72,0.5,0.47,0.47
vrjuggler.csv,0.45,0.61,0.0,0.28,0.0,0.31,0.25,0.16,0.26,0.38,0.31,0.16,0.3,0.42,0.09,0.11,0.16,0.67
xuggle.csv,0.6,0.6,0.29,0.42,0.43,0.67,0.54,0.52,0.54,0.19,0.71,0.37,0.48,0.15,0.72,0.43,0.69,0.72
