,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,oscarmcmaster.csv
abbot.csv,0.81,0.78,0.92,0.79,0.74,0.72,0.84,0.0,0.81
jicarilla.csv,0.86,1.0,0.05,1.0,1.0,1.0,0.9,0.77,0.98
optalgtoolkit.csv,0.55,0.74,0.72,0.57,0.56,0.05,0.7,0.7,0.77
oscarmcmaster.csv,0.66,0.65,0.8,0.76,0.73,0.89,0.87,0.88,0.06
ossim.csv,0.82,1.0,1.0,0.19,1.0,1.0,1.0,1.0,0.98
projectts.csv,0.66,0.9,0.83,0.6,0.74,0.98,0.0,0.81,0.64
sabbu.csv,0.05,0.81,0.96,0.58,0.63,0.74,0.66,0.53,0.65
vxl.csv,0.96,0.11,0.81,0.94,0.91,0.86,0.89,1.0,0.9
zact.csv,0.98,1.0,1.0,0.94,0.29,0.71,1.0,0.63,0.88
