,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.53,0.45,0.37,0.52,0.44,0.57,0.35,0.98,0.34,0.4,0.31
haphazard.csv,0.09,0.22,0.67,0.14,0.0,0.19,0.43,0.34,1.0,0.11,0.12
jicarilla.csv,0.02,0.1,0.99,0.07,0.17,0.19,0.0,0.17,0.18,0.31,0.02
jruby.csv,0.71,0.4,0.11,0.07,0.51,0.36,0.31,0.48,0.41,0.17,1.0
optalgtoolkit.csv,0.6,0.59,0.28,0.47,0.75,0.96,0.26,0.41,0.41,0.53,0.36
ossim.csv,0.0,0.0,0.0,0.79,0.0,0.0,0.04,0.0,0.1,0.0,0.0
projectts.csv,0.58,0.57,0.28,0.46,0.66,0.65,0.99,0.45,0.47,0.57,0.48
qedo.csv,0.02,0.0,0.04,0.0,0.0,0.13,0.19,0.06,0.1,1.0,0.04
sabbu.csv,0.98,0.55,0.21,0.67,0.59,0.4,0.42,0.3,0.66,0.38,0.52
vxl.csv,0.45,0.88,0.7,0.07,0.0,0.25,0.36,0.0,0.1,0.0,0.29
zact.csv,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.02
