,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.55,0.34,0.41,0.1,0.08,0.57,0.39,0.99,0.2,0.14,0.41
haphazard.csv,0.11,0.2,0.65,0.07,0.0,0.21,0.51,0.43,1.0,0.04,0.17
jicarilla.csv,0.03,0.14,0.99,0.03,0.13,0.23,0.0,0.23,0.15,0.13,0.03
jruby.csv,0.7,0.25,0.13,0.04,0.09,0.34,0.41,0.63,0.21,0.05,1.0
optalgtoolkit.csv,0.66,0.38,0.31,0.11,0.17,0.97,0.31,0.49,0.25,0.14,0.47
ossim.csv,0.0,0.0,0.0,0.86,0.0,0.0,0.05,0.0,0.14,0.0,0.0
projectts.csv,0.62,0.39,0.31,0.1,0.13,0.57,0.99,0.54,0.27,0.17,0.61
qedo.csv,0.03,0.0,0.06,0.0,0.0,0.17,0.27,0.09,0.12,1.0,0.06
sabbu.csv,0.99,0.35,0.26,0.16,0.11,0.37,0.47,0.37,0.38,0.09,0.77
vxl.csv,0.48,0.93,0.73,0.02,0.0,0.32,0.69,0.81,0.09,0.0,0.39
zact.csv,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.03
