,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.63,0.31,0.27,0.59,0.51,0.77,0.44,0.0,0.46,0.34,0.42
haphazard.csv,0.15,0.23,0.35,0.15,0.13,0.19,0.15,0.17,0.0,0.34,0.16
jicarilla.csv,0.02,0.03,0.03,0.21,0.06,0.13,0.04,0.17,0.23,0.26,0.05
jruby.csv,0.43,0.52,0.3,0.11,0.65,0.32,0.07,0.72,0.71,0.39,0.0
optalgtoolkit.csv,0.7,0.61,0.27,0.39,0.5,0.0,0.22,0.61,0.42,0.69,0.47
ossim.csv,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
projectts.csv,0.67,0.44,0.27,0.44,0.66,0.45,0.04,0.44,0.5,0.48,0.47
qedo.csv,0.02,0.0,0.0,0.03,0.03,0.1,0.07,0.0,0.04,0.0,0.0
sabbu.csv,0.0,0.61,0.19,0.41,0.65,0.39,0.33,0.44,0.58,0.72,0.74
vxl.csv,0.7,0.0,0.68,0.25,0.09,0.06,0.89,1.0,0.15,0.14,0.26
zact.csv,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.05,0.05
