,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.27,0.04,0.12,0.01,0.0,0.29,0.4,0.22,0.31,0.0,0.29,0.17,0.21,0.14,0.55,0.11,0.16
amygdala.csv,0.47,0.0,0.14,0.0,0.0,0.19,0.36,0.6,0.29,0.0,0.49,0.37,0.16,0.35,0.45,0.06,0.0
awemud.csv,0.53,0.04,0.3,0.41,0.06,0.14,0.3,0.7,0.17,0.0,0.97,0.34,0.27,0.63,0.17,0.56,0.0
bullet.csv,0.57,0.62,0.62,0.28,0.06,0.33,0.33,0.34,0.07,0.29,0.22,0.6,0.81,0.37,0.48,0.39,0.41
customwars.csv,0.27,0.16,0.36,0.01,0.22,0.38,0.2,0.34,0.26,0.0,0.33,0.17,0.19,0.24,0.17,0.22,0.24
dvd-create.csv,0.37,0.76,0.5,0.95,0.17,0.33,0.82,0.64,0.54,0.0,0.89,0.37,0.83,0.71,0.79,0.89,0.53
gbif-indexingtoolkit.csv,0.93,0.98,0.84,1.0,1.0,0.86,0.98,0.32,0.95,0.0,0.85,0.94,0.95,0.35,0.97,0.89,1.0
go.csv,0.53,0.27,0.38,0.74,0.5,0.43,0.62,0.78,0.64,0.02,0.93,0.69,0.53,0.53,0.83,0.28,0.5
growl-for-windows.csv,0.3,0.0,0.2,0.0,0.06,0.0,0.57,0.6,0.0,0.0,0.97,0.66,0.0,0.08,0.07,0.17,0.0
kwave.csv,0.67,1.0,0.23,1.0,1.0,0.48,0.95,0.82,0.86,0.27,0.86,0.69,0.92,0.76,0.76,0.83,1.0
libarchive.csv,0.77,0.6,0.73,0.31,0.78,0.86,0.76,0.98,0.8,0.17,1.0,0.69,0.55,1.0,0.9,0.83,0.26
linux-ntfs.csv,0.47,0.67,0.84,0.21,0.5,0.62,0.33,0.46,0.14,0.44,0.76,0.49,0.7,0.61,0.38,0.89,0.35
lsb.csv,0.4,0.58,0.75,0.13,0.83,0.43,0.16,0.2,0.25,0.0,0.84,0.77,0.06,0.31,0.48,0.56,0.37
mpgravity.csv,0.7,0.44,0.59,0.91,0.67,0.62,0.82,0.8,0.43,0.2,0.99,0.63,0.01,0.65,0.9,0.67,0.76
qcad2.csv,0.37,0.27,0.14,0.74,0.22,0.29,0.31,0.52,0.32,0.39,0.59,0.34,0.25,0.51,0.62,0.44,0.66
qtwin.csv,0.07,0.0,0.02,0.0,0.0,0.14,0.03,0.4,0.09,0.12,0.34,0.03,0.1,0.18,0.21,0.06,0.0
roller.csv,0.63,0.49,0.96,0.8,0.89,0.95,0.95,0.78,0.83,0.37,0.86,0.94,0.95,0.29,0.93,0.72,1.0
