,f1,g,recall,precision,pf,wins
acdk.csv,0.33,0.4,0.36,0.61,0.17,8
amygdala.csv,0.29,0.28,0.24,0.45,0.19,1
awemud.csv,0.32,0.38,0.38,0.55,0.3,4
bullet.csv,0.44,0.47,0.46,0.46,0.37,6
customwars.csv,0.44,0.44,0.4,0.59,0.22,10
dvd-create.csv,0.56,0.56,0.74,0.51,0.64,11
gbif-indexingtoolkit.csv,0.49,0.21,0.95,0.42,0.94,3
go.csv,0.58,0.63,0.75,0.5,0.53,16
growl-for-windows.csv,0.27,0.22,0.23,0.42,0.07,2
kwave.csv,0.58,0.45,0.89,0.43,0.83,7
libarchive.csv,0.59,0.51,0.9,0.53,0.77,12
linux-ntfs.csv,0.58,0.57,0.64,0.56,0.49,14
lsb.csv,0.52,0.47,0.5,0.56,0.4,9
mpgravity.csv,0.62,0.61,0.84,0.53,0.67,15
qcad2.csv,0.54,0.55,0.55,0.51,0.37,13
qtwin.csv,0.14,0.1,0.08,0.29,0.07,0
roller.csv,0.59,0.4,0.89,0.42,0.86,5
