,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.89,0.76,0.81,0.85,0.42,0.73,0.85,0.68,1.01,0.65,0.98
elateportal.csv,0.67,0.75,0.91,0.63,0.87,0.7,0.57,0.81,1.0,0.91,0.05
etics.csv,0.76,0.75,0.26,0.66,0.66,1.0,0.91,0.69,1.11,0.81,0.95
lockss.csv,0.61,0.62,0.53,0.45,0.64,0.53,0.75,0.48,0.49,0.72,0.86
pcgen.csv,0.83,1.0,1.01,0.38,1.0,0.67,0.99,0.63,1.0,1.0,1.0
personalaccess.csv,0.75,0.63,0.47,0.43,0.67,0.52,0.76,0.3,0.63,0.86,0.77
pydev.csv,0.55,0.87,0.32,0.63,0.57,0.7,0.87,0.59,1.29,0.42,0.97
rhex.csv,0.31,0.62,1.0,0.69,0.89,0.81,0.73,0.73,0.34,0.65,1.18
stuproa-cims.csv,0.83,0.88,0.77,0.46,0.6,0.66,0.44,0.75,0.59,0.61,0.93
uclmda.csv,0.84,0.92,0.95,0.93,1.01,1.0,0.95,0.94,0.01,0.98,0.95
wgs-assembler.csv,0.63,0.55,0.63,0.41,0.48,0.56,0.73,0.55,0.82,0.9,0.59
