,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.75,0.74,0.48,0.72
mcore3d.csv,0.54,0.76,0.69,0.6
projecteqemu.csv,0.59,0.61,0.54,0.4
xbplayer.csv,0.66,0.38,0.48,0.55
