,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.37,0.32,0.34,0.3
mcore3d.csv,0.27,0.11,0.32,0.21
projecteqemu.csv,0.24,0.28,0.2,0.23
xbplayer.csv,0.18,0.21,0.18,0.19
