,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.76,0.32,0.58,1.0,0.81,0.99,0.49,0.59,0.36,0.75
ibatisdb.csv,0.83,1.09,0.75,0.71,0.69,0.71,0.99,0.57,0.62,0.25
jmol.csv,0.68,1.0,0.8,0.73,0.99,0.44,0.74,0.95,0.89,0.88
liferea.csv,0.7,1.07,0.57,0.36,0.74,0.54,0.96,0.62,0.94,0.87
log4net.csv,0.82,0.83,0.71,0.67,0.12,0.79,0.66,0.63,0.8,0.89
pclasses.csv,0.25,1.01,0.86,0.92,0.49,0.82,0.8,0.98,0.72,0.91
psrchive.csv,0.76,0.2,0.26,0.71,0.38,0.91,0.56,0.75,0.62,0.8
re2c.csv,0.84,0.02,0.69,0.73,0.55,0.84,0.93,0.69,0.9,0.77
tycho.csv,0.75,0.35,0.46,0.74,0.72,0.79,0.33,0.73,0.75,1.11
xfce.csv,0.48,0.76,0.7,0.53,0.58,0.8,0.77,0.52,0.75,0.79
