,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,1.0,0.24,1.0,1.0,0.98,0.8,0.97
l2j.csv,0.07,0.49,0.11,0.54,0.57,0.33,0.71
libmesh.csv,0.0,0.17,0.19,0.46,0.39,0.45,0.0
mvdsv.csv,0.32,0.0,0.06,0.08,0.09,0.0,0.06
nova.csv,0.16,0.35,0.63,0.03,0.37,0.05,0.78
proftp.csv,0.0,0.11,0.0,0.22,0.13,0.16,0.11
