,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.0,0.8,0.0,0.0,0.09,0.49,0.13
l2j.csv,0.1,0.63,0.7,0.74,0.25,0.76,0.0
libmesh.csv,0.0,0.12,0.0,0.04,0.7,0.31,0.0
mvdsv.csv,0.35,0.0,0.99,0.42,0.05,0.01,0.0
nova.csv,0.78,0.37,0.0,0.09,0.3,0.12,0.59
proftp.csv,0.0,0.06,0.0,0.77,0.14,0.37,0.0
