,theresa.csv,cataclysmos.csv,ildjit.csv,proftp.csv,xstore.csv,boost.csv,wxjs.csv,ffigo.csv,skia.csv,tencompetence.csv
boost.csv,0.42,0.42,0.76,0.54,0.74,0.03,0.63,0.81,0.8,0.82
ffigo.csv,0.69,1.09,0.95,0.5,0.65,0.88,1.04,0.01,0.74,0.84
ildjit.csv,1.0,1.0,0.11,0.93,1.0,0.98,0.75,0.99,0.96,1.03
proftp.csv,1.0,0.19,0.89,0.13,0.82,0.7,0.45,0.74,0.73,0.87
skia.csv,0.14,0.23,0.94,0.76,0.79,0.78,0.47,0.92,0.0,0.86
tencompetence.csv,1.08,1.18,0.92,1.01,0.93,0.84,0.92,0.93,0.89,0.02
theresa.csv,0.02,1.0,1.0,1.0,0.96,0.99,1.0,0.95,1.0,1.0
wxjs.csv,1.0,1.0,1.0,0.9,1.0,1.0,0.12,1.0,1.0,1.0
xstore.csv,0.6,0.42,0.79,0.81,0.03,0.8,0.82,0.59,0.68,0.8
