,project,f1,precision,recall,g-score,d2h,pci_20,ifa,pd,pf,buggyness
0,bzbyte.csv,0.82,0.8,0.82,0.63,0.69,0.2,1.0,0.82,0.67,0.76
1,freedom-erp.csv,0.73,0.68,0.89,0.67,0.54,0.21,10.0,0.89,0.5,0.5808383233532934
2,twostep.csv,0.71,0.75,0.6,0.65,0.42,0.14,1.0,0.6,0.11,0.36619718309859156
3,iaml.csv,0.6,0.64,0.57,0.51,0.66,0.18,1.0,0.57,0.43,0.5714285714285714
4,etics.csv,0.22,0.17,0.33,0.35,0.87,0.09,1.0,0.33,0.12,0.23636363636363636
5,neoengine.csv,0.56,0.65,0.5,0.54,0.53,0.22,14.0,0.5,0.16,0.37583892617449666
6,nsis.csv,0.97,0.94,1.0,0.0,1.0,0.17,1.0,1.0,1.0,0.9247311827956989
7,vdsf.csv,0.0,0.0,0.0,0.0,1.0,0.2,251.0,0.0,0.0,0.08716323296354993
8,monetdb.csv,0.36,1.0,0.22,0.26,0.78,0.18,8.0,0.22,0.0,0.3219178082191781
9,amygdala.csv,0.57,0.57,0.57,0.57,0.64,0.2,4.0,0.57,0.43,0.5205479452054794
10,ikvm.csv,0.57,0.5,0.5,0.54,0.56,0.18,1.0,0.5,0.5,0.4230769230769231
11,jicarilla.csv,0.67,0.6,0.86,0.7,0.57,0.15,8.0,0.86,0.57,0.4714285714285714
12,metacosm.csv,0.55,0.6,0.6,0.58,0.58,0.18,3.0,0.6,0.33,0.46551724137931033
13,mplayer-ce.csv,0.0,0.0,0.0,0.0,1.0,0.17,125.0,0.0,0.0,0.45222929936305734
14,moviesandbox.csv,0.76,0.67,0.75,0.73,0.58,0.12,0.0,0.75,0.57,0.5569620253164557
15,uwom.csv,0.0,0.0,0.0,0.0,1.0,0.18,164.0,0.0,0.0,0.2195416164053076
16,geotools.csv,0.21,0.67,0.12,0.15,0.88,0.17,22.0,0.12,0.02,0.2842809364548495
17,jrdf.csv,0.0,0.0,0.0,0.0,1.0,0.2,14.0,0.0,0.17,0.20270270270270271
18,ng4j.csv,0.44,0.4,0.5,0.54,0.56,0.19,5.0,0.5,0.25,0.25316455696202533
19,bloodycore.csv,0.0,0.0,0.0,0.0,1.0,0.2,91.0,0.0,0.0,0.15217391304347827
20,jahshakafx.csv,0.54,0.42,0.67,0.72,0.53,0.19,6.0,0.67,0.21,0.30383480825958703
21,jstock.csv,0.33,0.33,0.33,0.37,0.7,0.17,9.0,0.33,0.22,0.23214285714285715
22,nassp.csv,0.0,0.0,0.0,0.0,1.0,0.18,10.0,0.0,0.11,0.20689655172413793
23,soar.csv,0.67,0.56,0.71,0.51,0.82,0.18,0.0,0.71,0.6,0.5535714285714286
