,project,f1,precision,recall,g-score,d2h,pci_20,ifa,pd,pf,buggyness
0,bzbyte.csv,0.82,0.8,0.82,0.63,0.69,0.36,0.0,0.82,0.67,0.76
1,freedom-erp.csv,0.73,0.68,0.89,0.67,0.54,0.3,0.0,0.89,0.5,0.5808383233532934
2,twostep.csv,0.71,0.75,0.6,0.65,0.42,0.33,0.0,0.6,0.11,0.36619718309859156
3,iaml.csv,0.6,0.64,0.57,0.51,0.66,0.56,1.0,0.57,0.43,0.5714285714285714
4,etics.csv,0.22,0.17,0.33,0.35,0.87,0.33,2.0,0.33,0.12,0.23636363636363636
5,neoengine.csv,0.56,0.65,0.5,0.54,0.53,0.53,2.0,0.5,0.16,0.37583892617449666
6,nsis.csv,0.97,0.94,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.9247311827956989
7,vdsf.csv,0.0,0.0,0.0,0.0,1.0,0.0,251.0,0.0,0.0,0.08716323296354993
8,monetdb.csv,0.36,1.0,0.22,0.26,0.78,0.33,0.0,0.22,0.0,0.3219178082191781
9,amygdala.csv,0.57,0.57,0.57,0.57,0.64,0.43,1.0,0.57,0.43,0.5205479452054794
10,ikvm.csv,0.57,0.5,0.5,0.54,0.56,0.4,1.0,0.5,0.5,0.4230769230769231
11,jicarilla.csv,0.67,0.6,0.86,0.7,0.57,0.64,0.0,0.86,0.57,0.4714285714285714
12,metacosm.csv,0.55,0.6,0.6,0.58,0.58,0.5,1.0,0.6,0.33,0.46551724137931033
13,mplayer-ce.csv,0.0,0.0,0.0,0.0,1.0,0.0,125.0,0.0,0.0,0.45222929936305734
14,moviesandbox.csv,0.76,0.67,0.75,0.73,0.58,0.38,1.0,0.75,0.57,0.5569620253164557
15,uwom.csv,0.0,0.0,0.0,0.0,1.0,0.0,164.0,0.0,0.0,0.2195416164053076
16,geotools.csv,0.21,0.67,0.12,0.15,0.88,0.67,0.0,0.12,0.02,0.2842809364548495
17,jrdf.csv,0.0,0.0,0.0,0.0,1.0,0.4,13.0,0.0,0.17,0.20270270270270271
18,ng4j.csv,0.44,0.4,0.5,0.54,0.56,0.6,1.0,0.5,0.25,0.25316455696202533
19,bloodycore.csv,0.0,0.0,0.0,0.0,1.0,0.0,91.0,0.0,0.0,0.15217391304347827
20,jahshakafx.csv,0.54,0.42,0.67,0.72,0.53,0.43,0.0,0.67,0.21,0.30383480825958703
21,jstock.csv,0.33,0.33,0.33,0.37,0.7,0.4,2.0,0.33,0.22,0.23214285714285715
22,nassp.csv,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.11,0.20689655172413793
23,soar.csv,0.67,0.56,0.71,0.51,0.82,0.5,0.0,0.71,0.6,0.5535714285714286
24,xbplayer.csv,0.5,0.56,0.44,0.48,0.62,0.67,1.0,0.44,0.22,0.3157894736842105
25,scite-ru.csv,0.33,0.5,0.25,0.29,0.76,0.5,1.0,0.25,0.09,0.2876712328767123
26,mobicents.csv,0.55,0.56,0.6,0.55,0.63,0.47,0.0,0.6,0.48,0.5127701375245579
27,jcache.csv,0.73,1.0,0.83,0.78,0.41,0.33,0.0,0.83,0.0,0.4533333333333333
28,flylegacy.csv,0.87,0.76,1.0,0.56,0.8,0.31,1.0,1.0,0.8,0.7411764705882353
29,mcmc-jags.csv,0.57,0.5,0.67,0.68,0.42,0.5,0.0,0.67,0.0,0.2631578947368421
30,mcore3d.csv,0.75,0.69,0.83,0.48,0.83,0.4,2.0,0.83,0.82,0.6797752808988764
31,gdis.csv,0.89,0.8,1.0,0.0,1.0,0.33,0.0,1.0,1.0,0.8142857142857143
32,liferea.csv,0.44,0.33,0.5,0.52,0.62,0.25,3.0,0.5,0.11,0.22807017543859648
33,nova.csv,0.4,0.33,0.5,0.47,0.67,0.25,2.0,0.5,0.22,0.22807017543859648
34,fleet-simulator.csv,1.0,1.0,1.0,1.0,0.0,0.25,0.0,1.0,0.0,0.8709677419354839
35,japano.csv,0.96,0.93,1.0,0.0,1.0,0.44,0.0,1.0,1.0,0.9328358208955224
36,qmcpack.csv,0.55,0.43,0.5,0.55,0.51,0.5,1.0,0.5,0.22,0.3181818181818182
37,gnukeda.csv,0.71,0.67,0.75,0.71,0.5,0.44,0.0,0.75,0.43,0.5492957746478874
38,powerfolder-.csv,0.5,0.5,0.5,0.54,0.54,0.5,2.0,0.5,0.2,0.29523809523809524
39,jparsec.csv,0.48,0.5,0.56,0.55,0.62,0.55,1.0,0.56,0.29,0.39473684210526316
40,m-m-m.csv,0.89,0.91,0.8,0.83,0.5,0.55,0.0,0.8,0.5,0.8360655737704918
41,adonthell.csv,0.6,0.64,0.58,0.54,0.61,0.53,0.0,0.58,0.44,0.5555555555555556
42,k3d.csv,0.0,0.0,0.0,0.0,1.0,0.5,40.0,0.0,0.03,0.14563106796116504
43,fmri-dmt.csv,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.08823529411764706
44,amanda.csv,0.63,0.67,0.6,0.58,0.5,0.44,2.0,0.6,0.17,0.4642857142857143
45,jaql.csv,0.52,0.62,0.47,0.5,0.58,0.5,1.0,0.47,0.17,0.3900414937759336
46,vars-redux.csv,0.52,0.46,0.5,0.55,0.66,0.46,2.0,0.5,0.43,0.4224137931034483
47,megameknet.csv,0.51,0.67,0.5,0.56,0.5,0.57,1.0,0.5,0.04,0.2247557003257329
48,autoopencas.csv,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.2634730538922156
49,arianne.csv,0.48,0.56,0.52,0.47,0.81,0.56,0.0,0.52,0.52,0.5
50,sumatrapdf.csv,0.67,0.83,0.5,0.56,0.5,0.5,0.0,0.5,0.09,0.36046511627906974
51,powerfolder.csv,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.03968253968253968
52,openxava.csv,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.10810810810810811
53,somap.csv,0.97,0.93,1.0,0.0,1.0,0.33,0.0,1.0,1.0,0.9230769230769231
54,elateportal.csv,0.95,1.0,1.0,0.91,0.11,0.22,0.0,1.0,0.0,0.88
55,lcfizvtop.csv,0.0,0.0,0.0,0.0,1.01,0.25,10.0,0.0,0.2,0.1864406779661017
56,arm-webradio.csv,0.44,1.0,0.57,0.34,0.71,0.5,0.0,0.57,0.0,0.26515151515151514
57,geogebra.csv,0.1,0.33,0.06,0.07,0.94,0.67,3.0,0.06,0.03,0.2222222222222222
58,dvd-create.csv,0.85,0.81,0.87,0.58,0.76,0.33,0.0,0.87,0.75,0.8043478260869565
59,xinity.csv,0.67,0.67,0.62,0.54,0.68,0.43,0.0,0.62,0.6,0.6119402985074627
60,jython.csv,0.5,0.67,0.4,0.45,0.6,0.67,1.0,0.4,0.03,0.12941176470588237
61,gnupdate.csv,0.33,0.4,0.5,0.52,0.61,0.62,1.0,0.5,0.06,0.18867924528301888
62,gstreamer.csv,0.76,0.71,0.8,0.75,0.5,0.31,0.0,0.8,0.41,0.577259475218659
63,plearn.csv,0.24,0.4,0.17,0.2,0.84,0.75,0.0,0.17,0.07,0.28780487804878047
64,gpac.csv,0.64,0.53,0.82,0.54,0.78,0.38,1.0,0.82,0.7,0.5436893203883495
65,quark.csv,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.09,0.2
66,xemeiah.csv,0.64,0.64,0.69,0.66,0.5,0.53,1.0,0.69,0.27,0.46206896551724136
67,unflobtactical.csv,0.67,0.64,0.71,0.61,0.66,0.38,0.0,0.71,0.6,0.5737704918032787
68,web-cat.csv,0.33,0.5,0.33,0.35,0.77,0.5,1.0,0.33,0.33,0.38
69,biodwh.csv,0.0,0.0,0.0,0.0,1.01,0.5,15.0,0.0,0.13,0.14457831325301204
70,crisscross.csv,0.0,0.0,0.0,0.0,1.0,0.5,23.0,0.0,0.1,0.17355371900826447
71,ofbiz.csv,0.77,0.71,0.88,0.61,0.66,0.37,0.0,0.88,0.58,0.674496644295302
72,mptvseries.csv,0.57,0.67,0.5,0.54,0.53,0.33,0.0,0.5,0.17,0.38
73,freelords.csv,0.77,0.73,0.75,0.43,0.89,0.38,1.0,0.75,0.83,0.7383177570093458
74,delphilhlplib.csv,0.8,1.0,0.82,0.56,0.6,0.36,0.0,0.82,0.0,0.7464788732394366
75,wow-qrsk.csv,0.0,0.0,0.0,0.0,1.0,0.0,187.0,0.0,0.0,0.1906283280085197
76,les-indemodables.csv,0.53,0.56,0.57,0.59,0.53,0.38,2.0,0.57,0.31,0.3627450980392157
77,runuomondains.csv,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.11940298507462686
78,ontomorphtab.csv,0.63,0.71,0.71,0.47,0.62,0.38,1.0,0.71,0.5,0.625
79,libarchive.csv,0.55,0.67,0.44,0.49,0.59,0.44,0.0,0.44,0.14,0.4188034188034188
80,capcode.csv,0.0,0.0,0.0,0.0,1.0,0.67,15.0,0.0,0.21,0.14457831325301204
81,openmeetings.csv,0.4,1.0,0.25,0.29,0.75,0.5,0.0,0.25,0.0,0.14102564102564102
82,silvertree.csv,0.44,0.43,0.4,0.44,0.7,0.5,0.0,0.4,0.43,0.4166666666666667
83,hibernate.csv,0.19,0.4,0.12,0.15,0.88,0.88,3.0,0.12,0.06,0.28647686832740216
84,haggle.csv,0.67,0.69,0.73,0.6,0.71,0.47,0.0,0.73,0.62,0.6434782608695652
