,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv
empserver.csv,0.78,0.21,0.12,0.74,0.72,0.72,0.56,0.1
enlightenment.csv,0.66,0.23,0.13,0.72,0.52,0.66,0.43,0.08
ildjit.csv,0.7,0.61,0.17,0.51,0.57,0.7,0.17,0.0
jfreereport.csv,0.88,0.08,0.26,0.73,0.5,0.84,0.5,0.14
lufa-lib.csv,0.6,0.24,0.16,0.62,0.6,0.66,0.6,0.09
pcsx2.csv,0.79,0.13,0.18,0.67,0.54,0.8,0.43,0.0
psycle.csv,0.78,0.15,0.15,0.67,0.59,0.75,0.44,0.11
wxjs.csv,0.88,0.0,0.06,0.0,0.0,0.54,1.0,0.32
