,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.43,0.46,0.47,0.36,0.46,0.5,0.67,0.41,0.35,0.48,0.39,0.67,0.39,0.41
encog-cs.csv,0.42,0.5,0.6,0.4,0.45,0.42,0.5,0.67,0.64,0.57,0.57,0.51,0.44,0.52
extprosys.csv,0.45,0.63,0.76,0.51,0.48,0.59,0.52,0.7,0.55,0.63,0.74,0.58,0.52,0.67
ibatisdb.csv,0.67,0.85,0.94,0.95,0.69,0.95,0.57,0.87,0.75,0.62,0.99,0.59,0.97,0.78
intact.csv,0.54,0.43,0.95,0.57,0.52,0.71,0.4,0.81,0.83,0.87,0.61,0.49,0.68,0.92
japano.csv,0.44,0.47,0.47,0.54,0.62,0.43,0.8,0.49,0.53,0.43,0.46,0.68,0.41,0.41
lockss.csv,0.5,0.0,0.67,0.0,0.91,0.88,0.89,0.91,0.91,0.94,0.99,0.89,0.93,0.83
ofbiz.csv,0.56,0.5,0.78,0.81,0.95,0.71,0.67,0.65,0.84,0.82,0.63,0.83,0.44,0.45
officefloor.csv,0.93,0.9,0.72,0.39,0.63,0.58,0.48,0.57,0.86,0.84,0.97,0.68,0.98,0.49
opennms.csv,0.76,0.79,0.83,0.96,0.78,0.8,0.91,0.86,0.9,0.89,0.99,0.75,0.98,0.93
rohxel.csv,0.34,0.42,0.5,0.42,0.45,0.44,0.45,0.54,0.47,0.47,0.56,0.48,0.43,0.51
roolo.csv,0.67,0.45,0.68,0.94,0.56,0.81,0.83,0.75,0.95,0.58,0.75,0.8,0.61,0.86
sevenupdate.csv,0.36,0.47,0.47,0.37,0.37,0.34,0.39,0.48,0.38,0.42,0.5,0.45,0.4,0.45
