,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.24,0.33,0.55,0.1,0.59,0.49,0.29,0.23,0.33,0.68,0.6,0.36,0.43,0.22,0.55,0.45,0.94,0.41
buddata-ebxml-registry.csv,0.0,0.44,0.0,0.0,0.09,0.0,0.21,0.0,0.0,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,1.0
co-ode-owl-plugins.csv,0.47,0.47,0.61,0.54,0.62,0.7,0.48,0.47,0.28,0.91,0.6,0.17,0.69,0.14,0.38,0.68,0.37,0.54
firebreath.csv,0.62,0.59,0.55,0.72,0.68,0.65,0.58,0.97,0.45,0.33,0.64,0.62,0.39,0.44,0.38,0.6,0.44,0.38
gretl.csv,0.57,0.44,0.34,0.69,0.46,0.45,0.58,0.55,0.64,0.43,0.41,0.32,0.37,0.5,0.97,0.69,0.51,0.0
konversation.csv,0.14,0.29,0.53,0.86,0.49,0.51,0.3,0.53,0.22,0.44,0.11,0.42,0.37,0.22,0.44,0.32,0.38,0.27
lazarus-ccr.csv,0.97,0.54,0.0,0.47,0.62,0.61,0.49,0.45,0.22,0.7,0.13,0.65,0.71,0.61,0.23,0.28,0.47,0.36
linuxsh.csv,0.59,0.5,0.93,0.69,0.58,0.5,0.54,0.6,0.38,0.25,0.5,0.71,0.63,0.67,0.48,0.52,0.56,0.5
migen.csv,0.31,0.38,0.31,0.62,0.3,0.59,0.93,0.12,0.23,0.2,0.24,0.44,0.13,0.07,0.28,0.23,0.18,0.18
moviesandbox.csv,0.33,0.48,0.61,0.69,0.56,0.95,0.53,0.46,0.23,0.13,0.48,0.76,0.43,0.22,0.38,0.33,0.29,0.28
mvnforum.csv,0.29,0.17,0.11,0.0,0.38,0.52,0.3,0.51,0.0,0.07,0.23,0.37,0.91,0.15,0.24,0.28,0.36,0.25
ontomorphtab.csv,0.57,0.98,0.51,0.66,0.67,0.7,0.68,0.67,0.28,0.31,0.6,0.6,0.59,0.07,0.66,0.55,0.62,0.64
opengs.csv,0.53,0.33,0.31,0.7,0.52,0.64,0.54,0.27,0.23,0.2,0.98,0.56,0.48,0.14,0.46,0.37,0.4,0.25
plplot.csv,0.45,0.42,0.0,0.69,0.62,0.72,0.61,0.5,0.6,0.2,0.56,0.62,0.56,0.28,0.0,0.92,0.0,0.28
scite-ru.csv,0.44,0.43,0.21,0.72,0.64,0.59,0.68,0.48,0.79,0.55,0.57,0.52,0.43,0.38,0.29,0.6,0.28,0.51
tokratan.csv,0.29,0.27,0.0,0.73,0.45,0.34,0.28,0.37,0.53,0.13,0.13,0.89,0.2,0.61,0.53,0.42,0.35,0.35
vrjuggler.csv,0.2,0.04,0.0,0.38,0.09,0.11,0.15,0.06,0.17,0.2,0.09,0.31,0.13,0.9,0.04,0.0,0.02,0.09
xuggle.csv,0.39,0.41,0.69,0.62,0.91,0.59,0.47,0.49,0.45,0.57,0.69,0.49,0.42,0.0,0.49,0.5,0.53,0.0
