,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.33,0.34,0.31,0.36,0.43,0.01,0.44,0.81,0.29,0.4,0.22,0.25,0.11,0.37,0.2,0.36,0.2
codepurge.csv,0.22,0.27,0.22,0.42,0.86,0.06,0.15,0.32,0.24,0.75,0.04,0.2,0.04,0.0,0.24,0.17,0.2
fontforge.csv,0.22,0.41,0.14,0.2,0.72,0.16,0.19,0.0,0.18,0.65,0.04,0.13,0.02,0.06,0.27,0.11,0.12
glas.csv,0.29,0.62,0.17,0.24,0.53,0.46,0.27,0.55,0.31,0.15,0.57,0.31,0.0,0.28,0.74,0.29,0.29
gmerlin.csv,0.22,0.49,0.14,0.24,0.36,0.3,0.25,0.65,0.36,0.4,0.17,0.36,0.15,0.16,0.86,0.02,0.17
hatari.csv,0.51,0.47,0.0,0.49,0.63,0.42,0.5,0.71,0.61,0.8,0.3,0.78,0.22,0.2,0.72,0.38,0.35
jcl.csv,0.02,0.03,0.0,0.11,0.03,0.05,0.12,0.0,0.11,0.18,0.0,0.07,0.0,0.24,0.0,0.12,0.16
ltp.csv,0.22,0.38,0.11,0.11,0.01,0.03,0.15,0.03,0.1,0.0,0.0,0.2,0.02,0.05,0.04,0.09,0.04
mia.csv,0.29,0.35,0.19,0.11,0.14,0.53,0.21,0.32,0.23,0.52,0.83,0.0,0.0,0.17,0.76,0.39,0.13
net-snmp.csv,0.02,0.19,0.19,0.2,0.51,0.33,0.31,0.84,0.35,0.5,0.13,0.28,0.07,0.25,0.65,0.17,0.18
opde.csv,0.84,0.38,0.89,0.0,0.48,0.35,0.23,0.1,0.43,0.22,0.48,0.2,0.15,0.52,0.82,0.53,0.47
oppna-program-hsatools.csv,0.8,0.95,0.97,0.96,0.97,0.84,1.0,1.0,0.9,0.92,0.04,1.0,0.85,0.65,0.85,0.82,0.89
powerfolder-.csv,0.02,0.0,0.0,0.04,0.19,0.24,0.0,0.23,0.0,0.12,0.65,0.03,0.0,0.0,0.46,0.05,0.14
qlc.csv,0.14,0.0,0.0,0.04,0.01,0.01,0.02,0.19,0.0,0.12,0.09,0.02,0.02,0.0,0.07,0.06,0.13
quantlib.csv,0.04,0.45,0.39,0.47,0.66,0.77,0.15,0.55,0.11,0.78,0.91,0.15,0.15,0.09,0.94,0.08,0.0
tcl.csv,0.31,0.53,0.25,0.53,0.61,0.36,0.35,0.42,0.58,0.0,0.22,0.53,0.25,0.3,0.37,0.39,0.45
