,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,2.0,0.0,0.0,3.0,0.0,0.0,23.0,9.0,17.0,0.0,0.0,18.0,91.0,20.0,18.0,3.0,7.0
codepurge.csv,1.0,0.0,4.0,5.0,2.0,0.0,8.0,6.0,7.0,0.0,0.0,20.0,0.0,0.0,2.0,6.0,3.0
fontforge.csv,5.0,5.0,0.0,1.0,2.0,4.0,10.0,0.0,2.0,0.0,0.0,22.0,0.0,4.0,15.0,3.0,2.0
glas.csv,1.0,11.0,1.0,1.0,3.0,2.0,52.0,2.0,12.0,0.0,1.0,8.0,0.0,9.0,1.0,2.0,4.0
gmerlin.csv,0.0,5.0,1.0,1.0,0.0,0.0,52.0,5.0,9.0,0.0,0.0,25.0,7.0,4.0,35.0,0.0,4.0
hatari.csv,0.0,2.0,0.0,0.0,0.0,2.0,26.0,9.0,10.0,0.0,0.0,25.0,3.0,8.0,5.0,4.0,4.0
jcl.csv,0.0,0.0,0.0,0.0,471.0,1.0,52.0,54.0,132.0,0.0,0.0,7.0,91.0,12.0,0.0,7.0,118.0
ltp.csv,2.0,7.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,3.0
mia.csv,11.0,1.0,1.0,1.0,2.0,14.0,52.0,5.0,17.0,0.0,2.0,0.0,91.0,5.0,7.0,8.0,9.0
net-snmp.csv,0.0,1.0,1.0,0.0,0.0,0.0,16.0,11.0,22.0,0.0,0.0,42.0,1.0,23.0,7.0,0.0,2.0
opde.csv,1.0,1.0,1.0,0.0,2.0,4.0,52.0,2.0,17.0,0.0,1.0,11.0,0.0,20.0,7.0,2.0,10.0
oppna-program-hsatools.csv,0.0,0.0,0.0,0.0,2.0,6.0,52.0,1.0,23.0,0.0,0.0,8.0,4.0,18.0,11.0,7.0,2.0
powerfolder-.csv,0.0,0.0,0.0,1.0,0.0,10.0,52.0,2.0,132.0,1.0,2.0,1.0,91.0,0.0,12.0,0.0,118.0
qlc.csv,4.0,0.0,64.0,0.0,0.0,1.0,52.0,0.0,0.0,2.0,1.0,195.0,1.0,168.0,1.0,4.0,118.0
quantlib.csv,1.0,1.0,3.0,3.0,0.0,14.0,8.0,9.0,8.0,0.0,2.0,16.0,0.0,3.0,7.0,3.0,0.0
tcl.csv,1.0,12.0,0.0,0.0,2.0,5.0,18.0,5.0,16.0,0.0,3.0,3.0,2.0,10.0,6.0,3.0,3.0
