,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jahshaka.csv,0.84,0.91,0.3,0.48,0.4,0.07,0.17
jatlas.csv,0.02,0.0,0.0,0.02,1.0,0.0,0.02
jedit.csv,0.97,0.55,0.62,0.59,0.6,0.57,0.58
open-media-library.csv,0.48,0.45,1.0,0.46,0.4,0.18,0.44
panda3d.csv,0.23,0.18,0.28,0.04,0.2,0.54,0.98
wheat.csv,0.23,0.55,0.2,0.37,0.4,1.0,0.29
