,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.17,0.82,0.54,0.38,0.79,0.24,0.94,0.36,0.84,0.9,0.25,0.71,0.67,0.5
carabiner.csv,0.14,0.54,0.45,0.43,0.76,0.57,0.95,0.31,0.86,0.65,0.3,0.74,0.61,0.39
elvishrayrenderer.csv,0.11,0.86,0.42,0.46,0.84,0.46,0.95,0.35,1.0,0.56,0.41,0.59,0.84,0.5
fleet-simulator.csv,0.12,0.57,0.47,0.4,0.7,0.32,0.95,0.36,1.0,0.71,0.23,0.69,0.71,0.51
gmerlin.csv,0.0,0.58,0.49,0.37,0.73,0.3,0.96,0.51,0.87,0.8,0.24,0.74,0.67,0.38
gnome-jabber.csv,0.14,0.59,0.46,0.33,0.73,0.26,0.98,0.31,0.87,0.7,0.25,0.66,0.7,0.42
ipfilter.csv,0.16,0.34,0.51,0.33,0.73,0.3,0.95,0.32,0.86,0.96,0.24,0.69,0.66,0.34
irplus.csv,0.22,0.75,0.6,0.48,0.8,0.54,1.0,0.38,1.0,0.81,0.3,0.76,0.65,0.57
mevenide.csv,0.22,0.0,0.43,0.25,0.82,0.67,1.0,0.71,1.0,1.0,0.61,0.82,0.76,0.0
moving-pictures.csv,0.24,0.7,0.7,0.41,0.67,0.4,0.95,0.38,0.67,0.81,0.24,0.72,0.64,0.74
opensim4opencog.csv,0.22,0.7,0.58,0.43,0.77,0.19,0.96,0.36,0.87,0.69,0.25,0.73,0.62,0.5
rockbox.csv,0.14,0.59,0.62,0.42,0.75,0.29,0.97,0.31,0.94,0.8,0.31,0.82,0.7,0.74
ta3d.csv,0.17,0.0,0.0,0.46,1.0,0.18,1.0,0.0,0.78,1.0,0.32,0.77,0.0,0.0
xcmetadataservicestoolkit.csv,0.18,1.0,0.57,0.53,0.89,0.3,0.95,0.32,0.97,0.97,0.24,0.69,0.73,0.0
