,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.11,0.15,0.47,0.3,0.5,0.22,0.77,0.38,0.44,0.41,0.63,0.37,0.82
bscwweasel.csv,0.04,0.0,0.41,0.42,0.55,0.26,0.36,0.4,0.33,0.41,0.3,0.44,0.66
capcode.csv,0.06,0.24,0.38,0.25,0.31,0.42,0.46,0.34,0.51,0.45,0.43,0.3,0.55
emite.csv,0.69,0.13,0.36,0.15,0.54,0.09,0.46,0.25,0.39,0.29,0.66,0.35,0.41
geogebra.csv,0.06,0.23,0.41,0.29,0.46,0.3,0.7,0.44,0.49,0.38,0.17,0.51,0.67
hibernate.csv,0.65,0.31,0.36,0.22,0.54,0.24,0.41,0.42,0.26,0.47,0.3,0.45,0.74
lamp.csv,0.32,0.35,0.39,0.24,0.49,0.23,0.79,0.43,0.41,0.44,0.31,0.38,0.73
nodal.csv,0.02,0.15,0.42,0.23,0.21,0.3,0.04,0.3,0.56,0.34,0.11,0.3,0.72
retromenu.csv,0.36,0.24,0.47,0.19,0.67,0.2,0.34,0.17,0.33,0.29,0.51,0.36,0.43
smbopensoft.csv,0.79,0.18,0.36,0.2,0.39,0.27,0.75,0.23,0.51,0.4,0.57,0.34,0.72
stuproa-cims.csv,0.0,0.25,0.4,0.31,0.49,0.0,0.04,0.56,0.31,0.3,0.4,0.42,0.79
thout.csv,0.6,0.17,0.5,0.29,0.42,0.28,0.84,0.4,0.43,0.38,0.52,0.33,0.67
uface.csv,0.66,0.18,0.36,0.31,0.57,0.3,0.84,0.4,0.38,0.47,0.56,0.42,0.96
