,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.33,0.42,0.09,0.04,0.0,0.56,0.19,0.29,0.0,0.29,0.29,0.0,0.2,0.07,0.52
fluidium.csv,0.16,0.18,0.09,0.33,0.53,0.51,0.06,0.21,0.14,0.26,0.57,0.25,0.07,0.0,0.15
guineu.csv,0.02,0.3,0.0,0.12,0.11,0.28,0.09,0.18,0.18,0.04,0.0,0.0,0.11,0.45,0.0
inkscape.csv,0.17,0.29,0.0,0.02,0.43,0.41,0.0,0.04,0.02,0.32,0.14,0.0,0.07,0.38,0.03
mpqc.csv,0.64,0.58,0.18,0.19,0.36,0.0,0.25,0.75,0.86,0.27,0.43,0.5,0.52,0.55,0.27
nsis.csv,0.81,0.95,0.82,0.94,0.98,0.94,0.97,0.71,0.82,0.93,0.14,1.0,0.91,0.9,0.94
octave.csv,0.26,0.27,0.09,0.42,0.0,0.27,0.16,0.32,0.75,0.14,0.14,0.0,0.52,0.03,0.73
owfs.csv,0.12,0.12,0.55,0.0,0.23,0.21,0.19,0.25,0.3,0.09,0.0,0.0,0.07,0.07,0.18
owlib.csv,0.36,0.0,0.18,0.67,0.46,0.38,0.31,0.32,0.48,0.34,0.43,0.0,0.2,0.31,0.21
pamguard.csv,0.78,0.59,1.0,0.96,0.35,0.63,0.59,0.71,0.48,0.67,0.29,0.08,0.59,0.34,0.0
prelude.csv,0.98,0.97,0.0,0.85,0.97,0.95,0.91,1.0,0.86,0.91,1.0,0.5,0.93,0.86,0.94
robocode.csv,0.31,0.09,0.0,0.4,0.24,0.31,0.19,0.0,0.39,0.2,0.43,0.17,0.52,0.21,0.3
uwom-server.csv,0.6,0.39,0.0,0.06,0.2,0.19,0.19,0.82,0.96,0.0,0.29,0.17,0.73,0.28,0.45
zengine.csv,0.93,0.98,1.0,0.85,0.5,0.78,0.84,0.61,0.27,0.72,0.43,0.0,0.7,0.72,0.94
zildo.csv,0.22,0.15,0.09,0.58,0.07,0.07,0.34,0.07,0.16,0.32,0.29,0.0,0.02,0.28,0.36
